
Bessel Functions
----------------
nmax   :   14
dim    :    8
z      :    1.800000000e+00    1.000000000e-01
----------------
   No             re(jn)             im(jn)             re(yn)             im(yn)            re(hn1)            im(hn1)            re(hn2)            im(hn2)
    0    5.413605726e-01   -4.271897371e-02    1.294661566e-01    4.700029807e-02    4.943602745e-01    8.674718293e-02    5.883608707e-01   -1.721851304e-01
    1    4.279821977e-01    6.683310399e-03   -4.682100767e-01    6.476633398e-02    3.632158637e-01   -4.615267663e-01    4.927485317e-01    4.748933871e-01
    2    1.703652306e-01    1.431750198e-02   -9.014367763e-01    1.038308485e-01    6.653438209e-02   -8.871192743e-01    2.741960792e-01    9.157542783e-01
    3    4.600113361e-02    6.755121129e-03   -2.012102404e+00    3.614478276e-01   -3.154466940e-01   -2.005347283e+00    4.074489612e-01    2.018857525e+00
    4    9.432575001e-03    1.963646548e-03   -6.821479166e+00    1.730850478e+00   -1.721417903e+00   -6.819515519e+00    1.740283053e+00    6.823442813e+00
    5    1.560403898e-03    4.208039705e-04   -3.151103515e+01    1.015520109e+01   -1.015364069e+01   -3.151061435e+01    1.015676150e+01    3.151145596e+01
    6    2.163116268e-04    7.188401479e-05   -1.817162977e+02    7.080303269e+01   -7.080281638e+01   -1.817162258e+02    7.080324900e+01    1.817163696e+02
    7    2.579342152e-05    1.023628522e-05   -1.248525095e+03    5.723131533e+02   -5.723131275e+02   -1.248525085e+03    5.723131791e+02    1.248525105e+03
    8    2.696622027e-06    1.251237127e-06   -9.926501499e+03    5.260040900e+03   -5.260040898e+03   -9.926501498e+03    5.260040903e+03    9.926501501e+03
    9    2.508052994e-07    1.340528190e-07   -8.946189840e+04    5.414531888e+04   -5.414531888e+04   -8.946189840e+04    5.414531888e+04    8.946189840e+04
   10    2.099077116e-08    1.278636280e-08   -8.998337506e+05    6.168161168e+05   -6.168161168e+05   -8.998337506e+05    6.168161168e+05    8.998337506e+05
   11    1.595473409e-09    1.099148469e-09   -9.977738695e+06    7.701331633e+06   -7.701331633e+06   -9.977738695e+06    7.701331633e+06    9.977738695e+06
   12    1.109644104e-10    8.599344205e-11   -1.207510337e+08    1.045474696e+08   -1.045474696e+08   -1.207510337e+08    1.045474696e+08    1.207510337e+08
   13    7.105691306e-12    6.172720541e-12   -1.581538520e+09    1.532764427e+09   -1.532764427e+09   -1.581538520e+09    1.532764427e+09    1.581538520e+09
   14    4.211104716e-13    4.092815803e-13   -2.225595916e+10    2.413006951e+10   -2.413006951e+10   -2.225595916e+10    2.413006951e+10    2.225595916e+10


   No             re(jn)             im(jn)             re(yn)             im(yn)            re(hn1)            im(hn1)            re(hn2)            im(hn2)
    0   -4.279821977e-01   -6.683310399e-03    4.682100767e-01   -6.476633398e-02   -3.632158637e-01    4.615267663e-01   -4.927485317e-01   -4.748933871e-01
    1    6.687670378e-02   -2.378465922e-02    6.441132364e-01   -5.355379967e-02    1.204305035e-01    6.203285772e-01    1.332290411e-02   -6.678978956e-01
    2    1.435921989e-01   -1.379748518e-03    1.019977412e+00   -1.909621629e-01    3.345543619e-01    1.018597663e+00   -4.736996405e-02   -1.021357160e+00
    3    6.762362741e-02    5.013988534e-03    3.511658048e+00   -9.445584807e-01    1.012182108e+00    3.516672036e+00   -8.769348533e-01   -3.506644059e+00
    4    1.957805722e-02    2.768496074e-03    1.661186291e+01   -5.481134905e+00    5.500712963e+00    1.661463140e+01   -5.461556848e+00   -1.660909441e+01
    5    4.169545931e-03    8.533571501e-04    9.601730822e+01   -3.783308579e+01    3.783725534e+01    9.601816157e+01   -3.782891625e+01   -9.601645486e+01
    6    7.062976489e-04    1.887053713e-04    6.577391889e+02   -3.034816051e+02    3.034823114e+02    6.577393776e+02   -3.034808988e+02   -6.577390002e+02
    7    9.950722744e-05    3.287854710e-05    5.209333194e+03   -2.772313732e+03    2.772313831e+03    5.209333227e+03   -2.772313632e+03   -5.209333161e+03
    8    1.200530144e-05    4.746106259e-06    4.677464028e+04   -2.839584498e+04    2.839584499e+04    4.677464029e+04   -2.839584497e+04   -4.677464028e+04
    9    1.266299502e-06    5.859616060e-07    4.688946838e+05   -3.221484632e+05    3.221484632e+05    4.688946838e+05   -3.221484632e+05   -4.688946838e+05
   10    1.185953708e-07    6.325893128e-08    5.183833650e+06   -4.008247370e+06    4.008247370e+06    5.183833650e+06   -4.008247370e+06   -5.183833650e+06
   11    9.981169991e-09    6.070350846e-09    6.257018405e+07   -5.425150687e+07    5.425150687e+07    6.257018405e+07   -5.425150687e+07   -6.257018405e+07
   12    7.621322766e-10    5.243814504e-10    8.176107161e+08   -7.933408630e+08    7.933408630e+08    8.176107161e+08   -7.933408630e+08   -8.176107161e+08
   13    5.320895515e-11    4.119202980e-11    1.148198759e+10   -1.246155022e+10    1.246155022e+10    1.148198759e+10   -1.246155022e+10   -1.148198759e+10
   14    3.418335890e-12    2.966893784e-12    1.721771671e+11   -2.092044095e+11    2.092044095e+11    1.721771671e+11   -2.092044095e+11   -1.721771671e+11
