nmax : 
15
Wavelength (micrometers) : 
0.5
Re(nmat) : 
1.5
radius
0.25
Re (nincl) : Im (ninc)
1.8
0.1


SphericalTMatrix          
--------------------------
nmax    :    15
dimtn   :   510
--------------------------
   i_    n    m        re(Tmatrix)        im(Tmatrix)
  503   15   -8   -1.659747921e-14    5.611520963e-14
  504   15   -9   -1.659747921e-14    5.611520963e-14
  505   15  -10   -1.659747921e-14    5.611520963e-14
  506   15  -11   -1.659747921e-14    5.611520963e-14
  507   15  -12   -1.659747921e-14    5.611520963e-14
  508   15  -13   -1.659747921e-14    5.611520963e-14
  509   15  -14   -1.659747921e-14    5.611520963e-14
  510   15  -15   -1.659747921e-14    5.611520963e-14
--------------------------
   i_    n        re(Tmatrix)        im(Tmatrix)
    1    1   -5.055445890e-01    2.703100247e-01
    2    2   -5.561503275e-01    3.101718726e-01
    3    3   -5.183426424e-01    2.475111131e-01
    4    4   -1.917096612e-01    1.819111353e-01
    5    5   -2.526460863e-02    4.449814424e-02
    6    6   -2.638717947e-03    5.877390096e-03
    7    7   -2.368324324e-04    5.710643110e-04
    8    8   -1.729021323e-05    4.319475254e-05
    9    9   -1.023954526e-06    2.611100711e-06
   10   10   -4.987232722e-08    1.289074660e-07
   11   11   -2.028958403e-09    5.294622948e-09
   12   12   -6.993302124e-11    1.837799893e-10
   13   13   -2.067753505e-12    5.463123372e-12
   14   14   -5.302033234e-14    1.406705302e-13
   15   15   -1.190251377e-15    3.168480287e-15
   16    1   -6.108318154e-01    2.579421090e-01
   17    2   -5.100303235e-01    2.611890118e-01
   18    3   -4.083774568e-01    3.022972079e-01
   19    4   -2.336041832e-01    2.498663284e-01
   20    5   -5.242250557e-02    9.936415188e-02
   21    6   -7.179491368e-03    1.929648556e-02
   22    7   -8.305431771e-04    2.522319220e-03
   23    8   -7.782198521e-05    2.463369735e-04
   24    9   -5.788119581e-06    1.867312834e-05
   25   10   -3.460727868e-07    1.129057916e-06
   26   11   -1.694814307e-08    5.570768695e-08
   27   12   -6.917750217e-10    2.285936969e-09
   28   13   -2.389171958e-11    7.926110167e-11
   29   14   -7.072798936e-13    2.353531433e-12
   30   15   -1.659747921e-14    5.611520963e-14
