nmax : 
15
Wavelength (micrometers) : 
0.5
Re(nmat) : 
1.5
radius
0.25
Re (nincl) : Im (ninc)
1.8
0.1


SphericalTMatrix          
--------------------------
nmax    :    15
dimtn   :   510
--------------------------
   i_    n    m        re(Tmatrix)        im(Tmatrix)
  116   10   -6   -4.987232722e-08    1.289074660e-07
  117   10   -7   -4.987232722e-08    1.289074660e-07
  118   10   -8   -4.987232722e-08    1.289074660e-07
  119   10   -9   -4.987232722e-08    1.289074660e-07
  120   10  -10   -4.987232722e-08    1.289074660e-07
  121   11   11   -2.028958403e-09    5.294622948e-09
  122   11   10   -2.028958403e-09    5.294622948e-09
  123   11    9   -2.028958403e-09    5.294622948e-09
  124   11    8   -2.028958403e-09    5.294622948e-09
  125   11    7   -2.028958403e-09    5.294622948e-09
  126   11    6   -2.028958403e-09    5.294622948e-09
  127   11    5   -2.028958403e-09    5.294622948e-09
  128   11    4   -2.028958403e-09    5.294622948e-09
  129   11    3   -2.028958403e-09    5.294622948e-09
  130   11    2   -2.028958403e-09    5.294622948e-09
  131   11    1   -2.028958403e-09    5.294622948e-09
  132   11    0   -2.028958403e-09    5.294622948e-09
  133   11   -1   -2.028958403e-09    5.294622948e-09
  134   11   -2   -2.028958403e-09    5.294622948e-09
  135   11   -3   -2.028958403e-09    5.294622948e-09
  136   11   -4   -2.028958403e-09    5.294622948e-09
  137   11   -5   -2.028958403e-09    5.294622948e-09
  138   11   -6   -2.028958403e-09    5.294622948e-09
  139   11   -7   -2.028958403e-09    5.294622948e-09
  140   11   -8   -2.028958403e-09    5.294622948e-09
  141   11   -9   -2.028958403e-09    5.294622948e-09
  142   11  -10   -2.028958403e-09    5.294622948e-09
  143   11  -11   -2.028958403e-09    5.294622948e-09
  144   12   12   -6.993302124e-11    1.837799893e-10
  145   12   11   -6.993302124e-11    1.837799893e-10
  146   12   10   -6.993302124e-11    1.837799893e-10
  147   12    9   -6.993302124e-11    1.837799893e-10
  148   12    8   -6.993302124e-11    1.837799893e-10
  149   12    7   -6.993302124e-11    1.837799893e-10
  150   12    6   -6.993302124e-11    1.837799893e-10
  151   12    5   -6.993302124e-11    1.837799893e-10
  152   12    4   -6.993302124e-11    1.837799893e-10
  153   12    3   -6.993302124e-11    1.837799893e-10
  154   12    2   -6.993302124e-11    1.837799893e-10
  155   12    1   -6.993302124e-11    1.837799893e-10
  156   12    0   -6.993302124e-11    1.837799893e-10
  157   12   -1   -6.993302124e-11    1.837799893e-10
  158   12   -2   -6.993302124e-11    1.837799893e-10
  159   12   -3   -6.993302124e-11    1.837799893e-10
  160   12   -4   -6.993302124e-11    1.837799893e-10
  161   12   -5   -6.993302124e-11    1.837799893e-10
  162   12   -6   -6.993302124e-11    1.837799893e-10
  163   12   -7   -6.993302124e-11    1.837799893e-10
  164   12   -8   -6.993302124e-11    1.837799893e-10
  165   12   -9   -6.993302124e-11    1.837799893e-10
  166   12  -10   -6.993302124e-11    1.837799893e-10
  167   12  -11   -6.993302124e-11    1.837799893e-10
  168   12  -12   -6.993302124e-11    1.837799893e-10
  169   13   13   -2.067753505e-12    5.463123372e-12
  170   13   12   -2.067753505e-12    5.463123372e-12
  171   13   11   -2.067753505e-12    5.463123372e-12
  172   13   10   -2.067753505e-12    5.463123372e-12
  173   13    9   -2.067753505e-12    5.463123372e-12
  174   13    8   -2.067753505e-12    5.463123372e-12
  175   13    7   -2.067753505e-12    5.463123372e-12
  176   13    6   -2.067753505e-12    5.463123372e-12
  177   13    5   -2.067753505e-12    5.463123372e-12
  178   13    4   -2.067753505e-12    5.463123372e-12
  179   13    3   -2.067753505e-12    5.463123372e-12
  180   13    2   -2.067753505e-12    5.463123372e-12
  181   13    1   -2.067753505e-12    5.463123372e-12
  182   13    0   -2.067753505e-12    5.463123372e-12
  183   13   -1   -2.067753505e-12    5.463123372e-12
  184   13   -2   -2.067753505e-12    5.463123372e-12
  185   13   -3   -2.067753505e-12    5.463123372e-12
  186   13   -4   -2.067753505e-12    5.463123372e-12
  187   13   -5   -2.067753505e-12    5.463123372e-12
  188   13   -6   -2.067753505e-12    5.463123372e-12
  189   13   -7   -2.067753505e-12    5.463123372e-12
  190   13   -8   -2.067753505e-12    5.463123372e-12
  191   13   -9   -2.067753505e-12    5.463123372e-12
  192   13  -10   -2.067753505e-12    5.463123372e-12
  193   13  -11   -2.067753505e-12    5.463123372e-12
  194   13  -12   -2.067753505e-12    5.463123372e-12
  195   13  -13   -2.067753505e-12    5.463123372e-12
