nmax : 
25
Wavelength (micrometers) : 
0.555
Re(nmat) : 
1.6
radius
0.632
Re (nincl) : Im (ninc)
2.75
1.72

SphericalTMatrix          
--------------------------
nmax    :    25
dimtn   :  1350
--------------------------
   i_    n    m        re(Tmatrix)        im(Tmatrix)
  114   10   -4   -4.864589980e-01   -3.501297571e-01
  115   10   -5   -4.864589980e-01   -3.501297571e-01
  116   10   -6   -4.864589980e-01   -3.501297571e-01
  117   10   -7   -4.864589980e-01   -3.501297571e-01
  118   10   -8   -4.864589980e-01   -3.501297571e-01
  119   10   -9   -4.864589980e-01   -3.501297571e-01
  120   10  -10   -4.864589980e-01   -3.501297571e-01
  121   11   11   -2.208388130e-01   -2.747925555e-01
  122   11   10   -2.208388130e-01   -2.747925555e-01
  123   11    9   -2.208388130e-01   -2.747925555e-01
  124   11    8   -2.208388130e-01   -2.747925555e-01
  125   11    7   -2.208388130e-01   -2.747925555e-01
  126   11    6   -2.208388130e-01   -2.747925555e-01
  127   11    5   -2.208388130e-01   -2.747925555e-01
  128   11    4   -2.208388130e-01   -2.747925555e-01
  129   11    3   -2.208388130e-01   -2.747925555e-01
  130   11    2   -2.208388130e-01   -2.747925555e-01
  131   11    1   -2.208388130e-01   -2.747925555e-01
  132   11    0   -2.208388130e-01   -2.747925555e-01
  133   11   -1   -2.208388130e-01   -2.747925555e-01
  134   11   -2   -2.208388130e-01   -2.747925555e-01
  135   11   -3   -2.208388130e-01   -2.747925555e-01
  136   11   -4   -2.208388130e-01   -2.747925555e-01
  137   11   -5   -2.208388130e-01   -2.747925555e-01
  138   11   -6   -2.208388130e-01   -2.747925555e-01
  139   11   -7   -2.208388130e-01   -2.747925555e-01
  140   11   -8   -2.208388130e-01   -2.747925555e-01
  141   11   -9   -2.208388130e-01   -2.747925555e-01
  142   11  -10   -2.208388130e-01   -2.747925555e-01
  143   11  -11   -2.208388130e-01   -2.747925555e-01
  144   12   12   -8.546717484e-02   -1.360457399e-01
  145   12   11   -8.546717484e-02   -1.360457399e-01
  146   12   10   -8.546717484e-02   -1.360457399e-01
  147   12    9   -8.546717484e-02   -1.360457399e-01
  148   12    8   -8.546717484e-02   -1.360457399e-01
  149   12    7   -8.546717484e-02   -1.360457399e-01
  150   12    6   -8.546717484e-02   -1.360457399e-01
  151   12    5   -8.546717484e-02   -1.360457399e-01
  152   12    4   -8.546717484e-02   -1.360457399e-01
  153   12    3   -8.546717484e-02   -1.360457399e-01
  154   12    2   -8.546717484e-02   -1.360457399e-01
  155   12    1   -8.546717484e-02   -1.360457399e-01
  156   12    0   -8.546717484e-02   -1.360457399e-01
  157   12   -1   -8.546717484e-02   -1.360457399e-01
  158   12   -2   -8.546717484e-02   -1.360457399e-01
  159   12   -3   -8.546717484e-02   -1.360457399e-01
  160   12   -4   -8.546717484e-02   -1.360457399e-01
  161   12   -5   -8.546717484e-02   -1.360457399e-01
  162   12   -6   -8.546717484e-02   -1.360457399e-01
  163   12   -7   -8.546717484e-02   -1.360457399e-01
  164   12   -8   -8.546717484e-02   -1.360457399e-01
  165   12   -9   -8.546717484e-02   -1.360457399e-01
  166   12  -10   -8.546717484e-02   -1.360457399e-01
  167   12  -11   -8.546717484e-02   -1.360457399e-01
  168   12  -12   -8.546717484e-02   -1.360457399e-01
  169   13   13   -3.004522064e-02   -4.647053350e-02
  170   13   12   -3.004522064e-02   -4.647053350e-02
  171   13   11   -3.004522064e-02   -4.647053350e-02
  172   13   10   -3.004522064e-02   -4.647053350e-02
  173   13    9   -3.004522064e-02   -4.647053350e-02
  174   13    8   -3.004522064e-02   -4.647053350e-02
  175   13    7   -3.004522064e-02   -4.647053350e-02
  176   13    6   -3.004522064e-02   -4.647053350e-02
  177   13    5   -3.004522064e-02   -4.647053350e-02
  178   13    4   -3.004522064e-02   -4.647053350e-02
  179   13    3   -3.004522064e-02   -4.647053350e-02
  180   13    2   -3.004522064e-02   -4.647053350e-02
  181   13    1   -3.004522064e-02   -4.647053350e-02
  182   13    0   -3.004522064e-02   -4.647053350e-02
  183   13   -1   -3.004522064e-02   -4.647053350e-02
  184   13   -2   -3.004522064e-02   -4.647053350e-02
