kd 	 theta 	 phi
3.14159	2.35619	(36.2039,0)	
----------------------------

1	-3.0955909407492127050076646810339298099279403686523437500000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
2	-1.4481598628323334373990682877320068655535578727722167968750000000000000000000000000000000000000000000e-02	1.7734843406712874766535169585444095453317333171440722122680355710144795011729001998901367187500000000e-18
3	-1.0240036592509238824733053263571491697803139686584472656250000000000000000000000000000000000000000000e-02	2.5080856072336418255174734257556768861466517125897784587507111098148016026243567466735839843750000000e-18
4	3.6969931673680165619411130961680100881494581699371337890625000000000000000000000000000000000000000000e-03	4.5275108488868775517810998303317383047099051046139044258975747681006396305747330188751220703125000000e-19
5	-1.4318628630884367661929568171785831509623676538467407226562500000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
6	-4.2834978636346592723027626448129012715071439743041992187500000000000000000000000000000000000000000000e-03	5.2457719478547101263055447074088976425949367720321151430107331492536104633472859859466552734375000000e-19
7	-4.5302606085591600251771815521806274773553013801574707031250000000000000000000000000000000000000000000e-03	1.1095938307150633957236259479823258692584253649201738757545943059312776313163340091705322265625000000e-18
8	-2.2651303042795804462694597702920873416587710380554199218750000000000000000000000000000000000000000000e-03	8.3219537303629740234797363194405542274547332982058151645832211329434358049184083938598632812500000000e-19
9	2.2464406380064846913136022976686945185065269470214843750000000000000000000000000000000000000000000000e-02	5.5021926736183579241437166761775637009460257690457961332608505244934349320828914642333984375000000000e-18
10	-3.0790897022045321529404304783383850008249282836914062500000000000000000000000000000000000000000000000e-02	-3.7707973480923585121894198562797687278872578015801331902112636385027144569903612136840820312500000000e-18
11	-1.4448613813901024175573306607134327350649982690811157226562500000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
12	2.0092775896001981161820282295593642629683017730712890625000000000000000000000000000000000000000000000e-02	-2.4606553687023923863110650753804901840408446862660434353853311506554746301844716072082519531250000000e-18
13	2.4436614720038451337158491583068098407238721847534179687500000000000000000000000000000000000000000000e-02	-5.9852443997784361526370696356221458858200167293191380768480058804925647564232349395751953125000000000e-18
14	1.7679974945227633353894702850084286183118820190429687500000000000000000000000000000000000000000000000e-02	-6.4955174177035264233366931288994098551607388448384406559599213437650178093463182449340820312500000000e-18
15	7.2178195468331155654206909844106121454387903213500976562500000000000000000000000000000000000000000000e-03	-3.5357118419409485197056753941486611574556907800219625326310080026814830489456653594970703125000000000e-18
16	-5.3450715358101304891524918616596551146358251571655273437500000000000000000000000000000000000000000000e-03	-1.9637474242630507976338286037518050751868243435587337367143057065277389483526349067687988281250000000e-18
17	9.3507819065192145785436750315966492053121328353881835937500000000000000000000000000000000000000000000e-03	2.2902810262687481398337826054484962166420250849469117046530719505881279474124312400817871093750000000e-18
18	-3.2471516823249159562625454356066256877966225147247314453125000000000000000000000000000000000000000000e-03	-3.9766139141051518843527892123754851421258542203468673049970849575629472383297979831695556640625000000e-19
19	-7.3650290022967889944083275111097464105114340782165527343750000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
20	3.7654427468074835318959797669791100815928075462579727172851562500000000000000000000000000000000000000e-05	-4.6113374072504612526867716004110527537717146429701573401337480473394236923923017457127571105957031250e-21
21	9.5448874738604944090170079107338096946477890014648437500000000000000000000000000000000000000000000000e-03	-2.3378231786169837621130582205576563532644568775288032233539148307954746996983885765075683593750000000e-18
22	1.2166775390371481133100495242160832276567816734313964843750000000000000000000000000000000000000000000e-02	-4.4700007613289671607772537280871230233758065245031326079283573449174582492560148239135742187500000000e-18
23	7.9513083207055860329726115764970018062740564346313476562500000000000000000000000000000000000000000000e-03	-3.8950177135943248707745729733454288672495216140482555966517708156970911659300327301025390625000000000e-18
24	2.8112120164379699079060248578798564267344772815704345703125000000000000000000000000000000000000000000e-03	-1.7213708988276687404221195635913917453641973321918690921494832224425408639945089817047119140625000000e-18
25	-1.2166500533866496380763777551692328415811061859130859375000000000000000000000000000000000000000000000e-02	-5.9598663742496671404109081101623638663591085445501906864285146525617165025323629379272460937500000000e-18
26	2.8511533676376363266591340561717515811324119567871093750000000000000000000000000000000000000000000000e-02	1.0474967536666883300421363533560387544221769085981896263426449422695441171526908874511718750000000000e-17
27	-2.8256501377603791824721923831020831130445003509521484375000000000000000000000000000000000000000000000e-02	-6.9208467934370511914292347506145421554760893756224563594381393727417162153869867324829101562500000000e-18
28	-1.5882026214267413750241830783238583535421639680862426757812500000000000000000000000000000000000000000e-03	-1.9449872567276920086224956055931211260776875883908912639314037207327601208817213773727416992187500000e-19
29	2.0839136448644213217562537465710192918777465820312500000000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
30	7.4198548257439029748883108084100967971608042716979980468750000000000000000000000000000000000000000000e-03	-9.0867014624853121226633817711562289380748627200988986815644032901673199376091361045837402343750000000e-19
31	-1.4317267638973193641382941621031932299956679344177246093750000000000000000000000000000000000000000000e-02	3.5067191973208997303779539757184931973851279313355265576657160409013158641755580902099609375000000000e-18
32	-2.4595193226464494296035212528295232914388179779052734375000000000000000000000000000000000000000000000e-02	9.0361273977601219450069642093418796353189636680596635853746079192205797880887985229492187500000000000e-18
33	-2.1054462684326570587334259698764071799814701080322265625000000000000000000000000000000000000000000000e-02	1.0313712133651169949769682326742862020736676332850062509649546882428694516420364379882812500000000000e-17
34	-1.1337742980808897252931188859292888082563877105712890625000000000000000000000000000000000000000000000e-02	6.9423653255014933540553911599384466122703520157811128699076874681850313208997249603271484375000000000e-18
35	-3.5853091344942829635233927376702922629192471504211425781250000000000000000000000000000000000000000000e-03	2.6344424133073139115942842025788823388622553996272612070184138133299711626023054122924804687500000000e-18
36	5.5778979598287217744889687764953123405575752258300781250000000000000000000000000000000000000000000000e-03	3.4154774412373978136293213644553445335480579934527185781423241905940813012421131134033203125000000000e-18
37	-1.4630218430904239762524454704362142365425825119018554687500000000000000000000000000000000000000000000e-02	-7.1667400688933948091800840117366377248728021769150903219625092788191977888345718383789062500000000000e-18
38	1.8068781363895208141867598783392168115824460983276367187500000000000000000000000000000000000000000000e-02	6.6383625785362837366483734041632917777431851477946619932701821653608931228518486022949218750000000000e-18
39	-4.7304174406890718215801250323693238897249102592468261718750000000000000000000000000000000000000000000e-03	-1.1586181154741370569241236794615172098564278814957981267319553353445371612906455993652343750000000000e-18
40	-1.2677263429057547550193874030810547992587089538574218750000000000000000000000000000000000000000000000e-02	-1.5525170080343123960767474255959245180844774940370116647625486905326397391036152839660644531250000000e-18
41	4.4195174634992047055237485153611487476155161857604980468750000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
42	1.4394436991332259373477242547778587322682142257690429687500000000000000000000000000000000000000000000e-02	-1.7628101186963309879128791808288425188353153361440301891138737744313402799889445304870605468750000000e-18
43	3.6664384785458328970542130065268793259747326374053955078125000000000000000000000000000000000000000000e-03	-8.9801842940436937803161719617158703488820615002009980706865199806543387239798903465270996093750000000e-19
44	-1.4503694703102865126709275500616058707237243652343750000000000000000000000000000000000000000000000000e-02	5.3285709881896026629165722951633599275661483209219453083260731318659964017570018768310546875000000000e-18
45	-2.2666051669991013617355690712429350242018699645996093750000000000000000000000000000000000000000000000e-02	1.1103163050785207943201370104921126862165116622714351041212310633454762864857912063598632812500000000e-17
46	-1.7944812543095958051742044858656299766153097152709960937500000000000000000000000000000000000000000000e-02	1.0988028621100872100859261189936128039534335464662978543159965738595928996801376342773437500000000000e-17
47	-8.8307160731558292238174701083153195213526487350463867187500000000000000000000000000000000000000000000e-03	6.4887049039016199762922134737870902495767111463884947719638063290403806604444980621337890625000000000e-18
48	-2.5492081509868366046012155834432633128017187118530273437500000000000000000000000000000000000000000000e-03	2.1853157217264604201408368589270172180643593908450387705566519969124783528968691825866699218750000000e-18
49	5.2601905833187714151000236029176448937505483627319335937500000000000000000000000000000000000000000000e-03	3.8651253364598292354277508086506240699652122478518264520053193677995295729488134384155273437500000000e-18
50	-1.6229796328299149477114582396097830496728420257568359375000000000000000000000000000000000000000000000e-02	-9.9378840621325124231636627937698418262590576991908318527091381611171527765691280364990234375000000000e-18
51	2.6888177964888036741708532417760579846799373626708984375000000000000000000000000000000000000000000000e-02	1.3171408431841808006269325352395879408779848896522343681958489014505175873637199401855468750000000000e-17
52	-2.1542959602424475301640782731737999711185693740844726562500000000000000000000000000000000000000000000e-02	-7.9147549563809601381383073405777671665333114695678982941640100534641533158719539642333984375000000000e-18
53	-3.0343161986241705060929341186692909104749560356140136718750000000000000000000000000000000000000000000e-03	-7.4319312404921076335050133375010128897451671720723333745828309560010893619619309902191162109375000000e-19
54	1.7876338286012941058977787633921252563595771789550781250000000000000000000000000000000000000000000000e-02	2.1892200462441029858265940642631684503956689560828568694161866403646854450926184654235839843750000000e-18
55	3.7800771632810135610205937162220379832433536648750305175781250000000000000000000000000000000000000000e-04	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
56	-1.4757529932565365340946250682918616803362965583801269531250000000000000000000000000000000000000000000e-02	1.8072761795237430099197269312213864721709375090223041043779872438790334854274988174438476562500000000e-18
57	-7.5668893692106648993234152555942273465916514396667480468750000000000000000000000000000000000000000000e-03	1.8533533691011954487858371188501860067402390648170443926412431778771860990673303604125976562500000000e-18
58	8.0614346203110483213283288250750047154724597930908203125000000000000000000000000000000000000000000000e-03	-2.9617230312898748160926285920430994557613453704316384962336172748109675012528896331787109375000000000e-18
59	1.7118809162477814644898188589650089852511882781982421875000000000000000000000000000000000000000000000e-02	-8.3857979384171342337492443501762810289312542662851571173554532379057491198182106018066406250000000000e-18
60	1.6369022967375180394045131038183171767741441726684570312500000000000000000000000000000000000000000000e-02	-1.0023135791082764408154735904635714722916782296600109875006623383342230226844549179077148437500000000e-17
61	1.0346804916165203841460495937099040020257234573364257812500000000000000000000000000000000000000000000e-02	-7.6027089131902891715500544208617444588154390342892713361422352136287372559309005737304687500000000000e-18
62	4.4824114133863550424319299736453103832900524139404296875000000000000000000000000000000000000000000000e-03	-3.8425595529056133536716760974810603225004187568952969400459807047809590585529804229736328125000000000e-18
63	1.1979748411040627882606646181784526561386883258819580078125000000000000000000000000000000000000000000e-03	-1.1736768436937195621772613893166179538449785922659979880977587640700221527367830276489257812500000000e-18
64	-0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	-3.0182352669934028356613087140658535645343363285064697265625000000000000000000000000000000000000000000e-03
65	-2.6136591085964884747277693299000709389445413622550811079403576542290466022677719593048095703125000000e-19	-2.1342146245074251030560130715230116038583219051361083984375000000000000000000000000000000000000000000e-03
66	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
67	3.2379245958928025657615600739345932677337967939089737393065782100620708661153912544250488281250000000e-18	-2.6439660791561871849841836024097574409097433090209960937500000000000000000000000000000000000000000000e-02
68	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	1.3219830395780928986027014104820409556850790977478027343750000000000000000000000000000000000000000000e-02
69	3.9656315427723941369365570514113568799888887758924981702390866189489315729588270187377929687500000000e-18	3.2381838955798686319198509409034159034490585327148437500000000000000000000000000000000000000000000000e-02
70	3.2379245958928037213195267062761051013205623448653648621675671392949880100786685943603515625000000000e-18	1.3219830395780941129091345942470070440322160720825195312500000000000000000000000000000000000000000000e-02
71	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
72	-1.2711994299769486376073665228331925336642703232916144437392169663780805421993136405944824218750000000e-18	5.1900655391497654139731920963640732225030660629272460937500000000000000000000000000000000000000000000e-03
73	7.7844749119008909223488974426515838775230009634730084754072887420761617249809205532073974609375000000e-19	-6.3565061512598957163544532988908031256869435310363769531250000000000000000000000000000000000000000000e-03
74	-0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	-2.6801383198469422124154970532572406227700412273406982421875000000000000000000000000000000000000000000e-03
75	8.5274650151623160735244628748678989656759632862869768138436299409477214794605970382690429687500000000e-19	6.9632036119307797600308518326528428588062524795532226562500000000000000000000000000000000000000000000e-03
76	1.6411114073363607897666834023733149424989676549340236744178866956644924357533454895019531250000000000e-18	6.7003457996173522784322251766297995345667004585266113281250000000000000000000000000000000000000000000e-03
77	7.7844749119008947742087862171232899894788861333276455516105851728525522048585116863250732421875000000e-19	2.1188353837532994394798890880338149145245552062988281250000000000000000000000000000000000000000000000e-03
78	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
79	-5.8097673980075944032647229818789061696672076092558181098501890460283902939409017562866210937500000000e-18	1.5813450327208850021420971643237862735986709594726562500000000000000000000000000000000000000000000000e-02
80	6.8468765404128203751962600645726644434813931645910159429213592829910339787602424621582031250000000000e-18	-2.7954494900815005792305001364184136036783456802368164062500000000000000000000000000000000000000000000e-02
81	-1.0979428364470631421900436008675536766541616648449990190083980223789694719016551971435546875000000000e-18	8.9653836290716111545595623510962468571960926055908203125000000000000000000000000000000000000000000000e-03
82	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	2.7471095426906753933504745646132505498826503753662109375000000000000000000000000000000000000000000000e-02
83	-1.1573333679461508823080754194631799113646482061358989994193091632723735528998076915740966796875000000e-18	-9.4503441216841569533224642896129807922989130020141601562500000000000000000000000000000000000000000000e-03
84	-7.7636282500691128847285120368025981187890568173013902675272390752070350572466850280761718750000000000e-18	-3.1697417800277002952746840946929296478629112243652343750000000000000000000000000000000000000000000000e-02
85	-7.6855998551294512397940382648049704052732560615661221159466975905161234550178050994873046875000000000e-18	-2.0919228467833787116214594448138086590915918350219726562500000000000000000000000000000000000000000000e-02
86	-2.7387506161651296137852617601283140999357936303811684661257963568914419738575816154479980468750000000e-18	-5.5908989801630049748526474218124349135905504226684570312500000000000000000000000000000000000000000000e-03
87	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
88	2.9481879399449652259495338965596496430459667841938575100213526525294582825154066085815429687500000000e-18	-6.0184453631806503551282538921896048123016953468322753906250000000000000000000000000000000000000000000e-03
89	-4.8945691517445417193236187887839576176458183851783901446852453887004230637103319168090820312500000000e-18	1.3322396724651092841940069888551079202443361282348632812500000000000000000000000000000000000000000000e-02
90	2.6369394576648017075449427204141917989322510169778119096251067787761712679639458656311035156250000000e-18	-1.0766122360752267833605699820509471464902162551879882812500000000000000000000000000000000000000000000e-02
91	8.0739451923627237339062485596625629393319543612188488902747796061021290370263159275054931640625000000e-19	-6.5928765730528327351778195009046612540259957313537597656250000000000000000000000000000000000000000000e-03
92	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	1.4120614344109817112071780798032705206423997879028320312500000000000000000000000000000000000000000000e-02
93	8.3573272579009378900584358108126536353412867760297633341892709069043121417053043842315673828125000000e-19	6.8242755900882086372849499866788391955196857452392578125000000000000000000000000000000000000000000000e-03
94	-2.8482201437543051924985094155484331463123597935610661555094758057293802266940474510192871093750000000e-18	-1.1628741224561020550787304728146409615874290466308593750000000000000000000000000000000000000000000000e-02
95	-5.6517616346538993914970825396293450976150833593757497053111649165657581761479377746582031250000000000e-18	-1.5383378670456590922577255753367353463545441627502441406250000000000000000000000000000000000000000000e-02
96	-3.9554091864972050650263417840278966711697018858722319639698028481689107138663530349731445312500000000e-18	-8.0745917705642052120129648073998396284878253936767578125000000000000000000000000000000000000000000000e-03
97	-1.1653736075582252460492129086172067769134308989084723023887946169452334288507699966430664062500000000e-18	-1.9031995320930139136555991896671002905350178480148315429687500000000000000000000000000000000000000000e-03
98	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
99	4.6348506108719960709138268022765513331832144273134729134389075966282689478248357772827148437500000000e-18	-7.5692854692454344250895914569809974636882543563842773437500000000000000000000000000000000000000000000e-03
100	-9.6333560922263322191592577573481566522412092187744800386717258788848994299769401550292968750000000000e-18	1.9665580514588873461967466482747113332152366638183593750000000000000000000000000000000000000000000000e-02
101	8.5576600823805669533947724686515703432041909126692415255011070485124946571886539459228515625000000000e-18	-2.3292865851440445329467721080618503037840127944946289062500000000000000000000000000000000000000000000e-02
