kd 	 theta 	 phi
3.14159	1.5708	(25.6,0)	
----------------------------

1	1.2194902975829778613015008659203886054456233978271484375000000000000000000000000000000000000000000000e-02	-2.6711837071031637597107177839461655821651220321655273437500000000000000000000000000000000000000000000e-02
2	-1.4029614905489021700866164755010575990890531683996048789575539217366895172744989395141601562500000000e-18	2.1207469334413899080795235793205985775217291243590700747234656375894701341167092323303222656250000000e-18
3	1.6201301214381388926533134053897811099886894226074218750000000000000000000000000000000000000000000000e-02	-2.4490237329833519641653083454002626240253448486328125000000000000000000000000000000000000000000000000e-02
4	3.3919345547562769482841105173065443523228168487548828125000000000000000000000000000000000000000000000e-02	1.7120637090135441826799223008492845110595226287841796875000000000000000000000000000000000000000000000e-02
5	3.0016939640884475668806744439440903453532803510481370701246106591497664339840412139892578125000000000e-19	-4.5374255190564702242626035250344227338648113748517274809723964779095695121213793754577636718750000000e-19
6	-2.0012895639591691404612916471705830190330743789672851562500000000000000000000000000000000000000000000e-03	3.0251925903070548719286936290018275030888617038726806640625000000000000000000000000000000000000000000e-03
7	3.5535830025818900568613920199482201831400240240774971584025720972022099886089563369750976562500000000e-18	3.0041584449910762523538979017526577872543266339546352491907121873282449087128043174743652343750000000e-18
8	-2.9017207288305757462154588210978545248508453369140625000000000000000000000000000000000000000000000000e-02	-2.4530815310036223342304850802975124679505825042724609375000000000000000000000000000000000000000000000e-02
9	-2.2663477832025109848235189247134258039295673370361328125000000000000000000000000000000000000000000000e-02	3.7319345560717406828921127726061968132853507995605468750000000000000000000000000000000000000000000000e-02
10	-6.1369682087185980471850718246573974577022295250801624429126679416413026046939194202423095703125000000e-19	2.3049011260477170499943377637967846768799746062057146739343593822013644967228174209594726562500000000e-18
11	3.1693705452227037035195511549545699381269514560699462890625000000000000000000000000000000000000000000e-03	-1.1903411407880775188528055252845661016181111335754394531250000000000000000000000000000000000000000000e-02
12	-2.3791488421120346248993578409731461830077126367086583560994661468157573835924267768859863281250000000e-18	1.0819178208081271183806237793689527811980223187106960221204321470622744527645409107208251953125000000e-18
13	1.1216313351669447359593156932078272802755236625671386718750000000000000000000000000000000000000000000e-02	-5.1006179538421259414548991628635121742263436317443847656250000000000000000000000000000000000000000000e-03
14	4.9574084491620546314067493459853244519577153557514468534828111501155945006757974624633789062500000000e-18	-4.2802037787925323516549062506024616860155890963994269188264141234867565799504518508911132812500000000e-18
15	-3.3052036324442354842112479218485532328486442565917968750000000000000000000000000000000000000000000000e-02	2.8536976975657244587347705078173021320253610610961914062500000000000000000000000000000000000000000000e-02
16	-3.7830630023862596433836813503148732706904411315917968750000000000000000000000000000000000000000000000e-02	-2.9564808101459217476447705053033132571727037429809570312500000000000000000000000000000000000000000000e-02
17	-3.8883374888650100525327285701190530137268689054100279101078285748371854424476623535156250000000000000e-18	-2.0314639949094984755891753104746586772038372068621692179135607148054987192153930664062500000000000000e-18
18	1.6971455067244418241090286869621195364743471145629882812500000000000000000000000000000000000000000000e-02	8.8667457516387274824021247354721708688884973526000976562500000000000000000000000000000000000000000000e-03
19	1.3887272812087421449807107197504716841628838844594721196878950308928324375301599502563476562500000000e-18	-1.1990207822691415072516669397310215643885270357288960578479031227061568642966449260711669921875000000e-18
20	-5.0713211436199234077859543390331964474171400070190429687500000000000000000000000000000000000000000000e-03	4.3785554781271664517849906417268357472494244575500488281250000000000000000000000000000000000000000000e-03
21	1.6315057271651704281285392054033406971203326319010780062757071107171213952824473381042480468750000000e-18	4.7015052193578430243533456059207268039418603801089628635434536363391089253127574920654296875000000000e-18
22	-6.2801713605718590197057871193919709185138344764709472656250000000000000000000000000000000000000000000e-03	-1.8097551199831658080841023661378130782395601272583007812500000000000000000000000000000000000000000000e-02
