kd 	 theta 	 phi
3.14159	0.785398	(36.2039,0)	
----------------------------

1	-3.0955909407492127050076646810339298099279403686523437500000000000000000000000000000000000000000000000e-02	-2.6301531791663819090376641440798266557976603507995605468750000000000000000000000000000000000000000000e-03
2	1.4481598628323334373990682877320068655535578727722167968750000000000000000000000000000000000000000000e-02	2.3134980239213264949227344402515882393345236778259277343750000000000000000000000000000000000000000000e-03
3	-1.0240036592509238824733053263571491697803139686584472656250000000000000000000000000000000000000000000e-02	-1.6358901409764465325474835921681915351655334234237670898437500000000000000000000000000000000000000000e-03
4	3.6969931673680204650689340439839725149795413017272949218750000000000000000000000000000000000000000000e-03	-2.8102770760150604795191142670773842837661504745483398437500000000000000000000000000000000000000000000e-02
5	1.4318628630884367661929568171785831509623676538467407226562500000000000000000000000000000000000000000e-03	-1.8900174654292768022800785843173798639327287673950195312500000000000000000000000000000000000000000000e-02
6	-4.2834978636346558028558106911987124476581811904907226562500000000000000000000000000000000000000000000e-03	2.2743740504266900942509366245758428703993558883666992187500000000000000000000000000000000000000000000e-02
7	4.5302606085591565557302295985664386535063385963439941406250000000000000000000000000000000000000000000e-03	-1.8405192211715673544780713655200088396668434143066406250000000000000000000000000000000000000000000000e-02
8	-2.2651303042795769768225078166778985178098082542419433593750000000000000000000000000000000000000000000e-03	9.2025961058578315682199288971787609625607728958129882812500000000000000000000000000000000000000000000e-03
9	2.2464406380064843443689071023072756361216306686401367187500000000000000000000000000000000000000000000e-02	4.6588511334374454325724101977357349824160337448120117187500000000000000000000000000000000000000000000e-03
10	3.0790897022045321529404304783383850008249282836914062500000000000000000000000000000000000000000000000e-02	5.4432016593373164572988720522062067175284028053283691406250000000000000000000000000000000000000000000e-03
11	-1.4448613813901024175573306607134327350649982690811157226562500000000000000000000000000000000000000000e-03	-2.3858817768305112284876745576411849469877779483795166015625000000000000000000000000000000000000000000e-03
12	-2.0092775896001981161820282295593642629683017730712890625000000000000000000000000000000000000000000000e-02	-4.1670031325672183403208137519868614617735147476196289062500000000000000000000000000000000000000000000e-03
13	2.4436614720038451337158491583068098407238721847534179687500000000000000000000000000000000000000000000e-02	8.0481989860540018022483366166852647438645362854003906250000000000000000000000000000000000000000000000e-03
14	-1.7679974945227640292788606757312663830816745758056640625000000000000000000000000000000000000000000000e-02	-6.4940111510056325316853076401457656174898147583007812500000000000000000000000000000000000000000000000e-03
15	7.2178195468331155654206909844106121454387903213500976562500000000000000000000000000000000000000000000e-03	2.6511689506513130658305055220580470631830394268035888671875000000000000000000000000000000000000000000e-03
16	-5.3450715358101356933229197920809383504092693328857421875000000000000000000000000000000000000000000000e-03	1.6926689708863785349679531577749003190547227859497070312500000000000000000000000000000000000000000000e-02
17	-9.3507819065192215174375789388250268530100584030151367187500000000000000000000000000000000000000000000e-03	3.2184666296426106546491041626723017543554306030273437500000000000000000000000000000000000000000000000e-02
18	-3.2471516823249185583477594008172673056833446025848388671875000000000000000000000000000000000000000000e-03	1.7846604466900738844570284413748595397919416427612304687500000000000000000000000000000000000000000000e-02
19	7.3650290022967889944083275111097464105114340782165527343750000000000000000000000000000000000000000000e-03	-1.7488999646904597462526709250596468336880207061767578125000000000000000000000000000000000000000000000e-02
20	3.7654427468073527500089237030067579325987026095390319824218750000000000000000000000000000000000000000e-05	-7.5121180695906005636564017891032563056796789169311523437500000000000000000000000000000000000000000000e-03
21	-9.5448874738604874701231040035054320469498634338378906250000000000000000000000000000000000000000000000e-03	2.3419731663426819612272566928368178196251392364501953125000000000000000000000000000000000000000000000e-02
22	1.2166775390371472459483115358125360216945409774780273437500000000000000000000000000000000000000000000e-02	-2.4090003795929564034405956363116274587810039520263671875000000000000000000000000000000000000000000000e-02
23	-7.9513083207055790940787076692686241585761308670043945312500000000000000000000000000000000000000000000e-03	1.4889059728433148496740123789550125366076827049255371093750000000000000000000000000000000000000000000e-02
24	2.8112120164379668721399418984674412058666348457336425781250000000000000000000000000000000000000000000e-03	-5.2640775497333099075536466671110247261822223663330078125000000000000000000000000000000000000000000000e-03
25	-1.2166500533866494646040301574885234003886580467224121093750000000000000000000000000000000000000000000e-02	-5.6536591822306612314941176578031445387750864028930664062500000000000000000000000000000000000000000000e-03
26	-2.8511533676376359797144388608103326987475156784057617187500000000000000000000000000000000000000000000e-02	-1.2554012760432841505631174072732392232865095138549804687500000000000000000000000000000000000000000000e-02
27	-2.8256501377603781416381067970178264658898115158081054687500000000000000000000000000000000000000000000e-02	-1.0673227761799543994447603267872182186692953109741210937500000000000000000000000000000000000000000000e-02
28	1.5882026214267413750241830783238583535421639680862426757812500000000000000000000000000000000000000000e-03	3.9482321579116762266803419834104715846478939056396484375000000000000000000000000000000000000000000000e-03
29	2.0839136448644213217562537465710192918777465820312500000000000000000000000000000000000000000000000000e-02	9.3804158430717838462742363958568603266030550003051757812500000000000000000000000000000000000000000000e-03
30	-7.4198548257439029748883108084100967971608042716979980468750000000000000000000000000000000000000000000e-03	-7.6015400514842460660824841056637524161487817764282226562500000000000000000000000000000000000000000000e-03
31	-1.4317267638973197110829893574646121123805642127990722656250000000000000000000000000000000000000000000e-02	-5.8947599210528115604157406437479949090629816055297851562500000000000000000000000000000000000000000000e-03
32	2.4595193226464504704376068389137799385935068130493164062500000000000000000000000000000000000000000000e-02	1.6244470458713952676355063431401504203677177429199218750000000000000000000000000000000000000000000000e-02
33	-2.1054462684326577526228163605992449447512626647949218750000000000000000000000000000000000000000000000e-02	-1.5681343131754229419660973121608549263328313827514648437500000000000000000000000000000000000000000000e-02
34	1.1337742980808904191825092766521265730261802673339843750000000000000000000000000000000000000000000000e-02	8.7436967185311499639599475131035433150827884674072265625000000000000000000000000000000000000000000000e-03
35	-3.5853091344942838308851307260738394688814878463745117187500000000000000000000000000000000000000000000e-03	-2.7649996800298616041191568371004905202426016330718994140625000000000000000000000000000000000000000000e-03
36	5.5778979598287269786593967069165955763310194015502929687500000000000000000000000000000000000000000000e-03	-8.2951420439905301090766087668271211441606283187866210937500000000000000000000000000000000000000000000e-03
37	1.4630218430904248436141834588397614425048232078552246093750000000000000000000000000000000000000000000e-02	-2.2656796310953915274399861345955287106335163116455078125000000000000000000000000000000000000000000000e-02
38	1.8068781363895218550208454644234734587371349334716796875000000000000000000000000000000000000000000000e-02	-3.0514774747743347860229334855830529704689979553222656250000000000000000000000000000000000000000000000e-02
39	4.7304174406890744236653389975799655076116323471069335937500000000000000000000000000000000000000000000e-03	-1.3337453800984513940797171471785986796021461486816406250000000000000000000000000000000000000000000000e-02
40	-1.2677263429057551019640825984424736816436052322387695312500000000000000000000000000000000000000000000e-02	1.5701607600193637215291175834863679483532905578613281250000000000000000000000000000000000000000000000e-02
41	-4.4195174634992047055237485153611487476155161857604980468750000000000000000000000000000000000000000000e-03	1.2108765660894851498574631420979130780324339866638183593750000000000000000000000000000000000000000000e-02
42	1.4394436991332259373477242547778587322682142257690429687500000000000000000000000000000000000000000000e-02	-1.5973454376497085022146293908917868975549936294555664062500000000000000000000000000000000000000000000e-02
43	-3.6664384785458328970542130065268793259747326374053955078125000000000000000000000000000000000000000000e-03	-1.6339430737108628314407932080598584434483200311660766601562500000000000000000000000000000000000000000e-03
44	-1.4503694703102858187815371593387681059539318084716796875000000000000000000000000000000000000000000000e-02	1.8067628847456409374450103655362909194082021713256835937500000000000000000000000000000000000000000000e-02
45	2.2666051669991006678461786805200972594320774078369140625000000000000000000000000000000000000000000000e-02	-2.2152864907957304368979478681467298883944749832153320312500000000000000000000000000000000000000000000e-02
46	-1.7944812543095947643401188997813733294606208801269531250000000000000000000000000000000000000000000000e-02	1.6138460764100796829279005351054365746676921844482421875000000000000000000000000000000000000000000000e-02
47	8.8307160731558205502000902242798474617302417755126953125000000000000000000000000000000000000000000000e-03	-7.7352968961999701499876458399285183986648917198181152343750000000000000000000000000000000000000000000e-03
48	-2.5492081509868348698777396066361689008772373199462890625000000000000000000000000000000000000000000000e-03	2.2329878726413654975446743122802217840217053890228271484375000000000000000000000000000000000000000000e-03
