kd 	 theta 	 phi
0	2.03444	(28.6217,0)	
----------------------------

1	-1.0363613744041792405492508066799928201362490653991699218750000000000000000000000000000000000000000000e-02	2.9703602071375213855564112463980563916265964508056640625000000000000000000000000000000000000000000000e-02
2	6.4881662310833010040567181420101405819877982139587402343750000000000000000000000000000000000000000000e-03	-1.3358063872406251287872080979468591976910829544067382812500000000000000000000000000000000000000000000e-02
3	-9.1756526789291345536092592283239355310797691345214843750000000000000000000000000000000000000000000000e-03	1.8891155095402987346142609226262720767408609390258789062500000000000000000000000000000000000000000000e-02
4	3.3709111301017738449026239777595037594437599182128906250000000000000000000000000000000000000000000000e-02	1.3552288097745231187918335535869118757545948028564453125000000000000000000000000000000000000000000000e-02
5	6.5436318307807968611133908609645004617050290107727050781250000000000000000000000000000000000000000000e-03	3.5337278213686906889329231162832911650184541940689086914062500000000000000000000000000000000000000000e-04
6	-1.3761687061696573075586513823509449139237403869628906250000000000000000000000000000000000000000000000e-02	-5.5326984477782467294892931874983332818374037742614746093750000000000000000000000000000000000000000000e-03
7	2.0621847639456156869863789893315697554498910903930664062500000000000000000000000000000000000000000000e-02	1.2845542533471501073227827305345272179692983627319335937500000000000000000000000000000000000000000000e-02
8	-2.0621847639456153400416837939701508730649948120117187500000000000000000000000000000000000000000000000e-02	-1.2845542533471501073227827305345272179692983627319335937500000000000000000000000000000000000000000000e-02
9	1.6654313218439097121770231524351402185857295989990234375000000000000000000000000000000000000000000000e-02	-3.3298530194703461482230721912856097333133220672607421875000000000000000000000000000000000000000000000e-02
10	7.0560877716999191935909330197773670079186558723449707031250000000000000000000000000000000000000000000e-03	-1.9377080782089807498014266684549511410295963287353515625000000000000000000000000000000000000000000000e-02
11	-8.4377138017805441982943648326909169554710388183593750000000000000000000000000000000000000000000000000e-03	1.3537788644158138540163349716749507933855056762695312500000000000000000000000000000000000000000000000e-02
12	3.3017352691120179127015621389773514238186180591583251953125000000000000000000000000000000000000000000e-03	2.0566819023768137704444303182071962510235607624053955078125000000000000000000000000000000000000000000e-03
13	8.4377138017805424635708888558838225435465574264526367187500000000000000000000000000000000000000000000e-03	-1.3537788644158128131822493855906941462308168411254882812500000000000000000000000000000000000000000000e-02
14	-1.9626306086565101921559417519347334746271371841430664062500000000000000000000000000000000000000000000e-02	2.3433165815412642513093643970023549627512693405151367187500000000000000000000000000000000000000000000e-02
15	1.6024811815921427560205358986422652378678321838378906250000000000000000000000000000000000000000000000e-02	-1.9133099768596888157201618696490186266601085662841796875000000000000000000000000000000000000000000000e-02
16	-3.0507684136443408845495994796692684758454561233520507812500000000000000000000000000000000000000000000e-02	-2.0000210417810620339151839175428904127329587936401367187500000000000000000000000000000000000000000000e-02
17	-2.6783800938931148077903898752083478029817342758178710937500000000000000000000000000000000000000000000e-02	-1.4569587629137566858750219012108573224395513534545898437500000000000000000000000000000000000000000000e-02
18	5.9593746637928062329092604443303571315482258796691894531250000000000000000000000000000000000000000000e-03	7.1025626362635416177759850597794866189360618591308593750000000000000000000000000000000000000000000000e-03
19	1.4062932520845802461528784021993487840518355369567871093750000000000000000000000000000000000000000000e-02	5.8297973810784615988911383510640007443726062774658203125000000000000000000000000000000000000000000000e-03
20	-9.4225986839427192109930331298528471961617469787597656250000000000000000000000000000000000000000000000e-03	-1.1230137577301412682428960465585987549275159835815429687500000000000000000000000000000000000000000000e-02
21	-1.6954967342687823905755806208617286756634712219238281250000000000000000000000000000000000000000000000e-03	4.5377538975995557191112084183259867131710052490234375000000000000000000000000000000000000000000000000e-03
22	1.4704472374370619255912195910696027567610144615173339843750000000000000000000000000000000000000000000e-02	1.4433528449716039737671380294159462209790945053100585937500000000000000000000000000000000000000000000e-02
23	-2.2297938231333826880620208044092578347772359848022460937500000000000000000000000000000000000000000000e-02	-2.6575355953000073111480716647747613023966550827026367187500000000000000000000000000000000000000000000e-02
24	1.5767023329854915753012178925018815789371728897094726562500000000000000000000000000000000000000000000e-02	1.8791614406812633814025659262370027136057615280151367187500000000000000000000000000000000000000000000e-02
25	-2.3340046004044046057401828875299543142318725585937500000000000000000000000000000000000000000000000000e-02	2.5979756801559776568932846885218168608844280242919921875000000000000000000000000000000000000000000000e-02
26	-2.2934705369461419466325935445638606324791908264160156250000000000000000000000000000000000000000000000e-02	2.9372878039534117133868562632414977997541427612304687500000000000000000000000000000000000000000000000e-02
27	2.3587149261531654802215296484746431815437972545623779296875000000000000000000000000000000000000000000e-03	2.8111876579732112194087711998236045474186539649963378906250000000000000000000000000000000000000000000e-03
28	1.3241358318843298932931951128466607769951224327087402343750000000000000000000000000000000000000000000e-02	-1.6958439042999064877426107500468788202852010726928710937500000000000000000000000000000000000000000000e-02
29	-6.3239364639197104267509530473034828901290893554687500000000000000000000000000000000000000000000000000e-03	-1.3498008284990863515223624702343840908724814653396606445312500000000000000000000000000000000000000000e-03
