kd 	 theta 	 phi
3.14159	2.03444	(28.6217,0)	
----------------------------

1	-1.0363613744041792405492508066799928201362490653991699218750000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
2	-6.4881662310833010040567181420101405819877982139587402343750000000000000000000000000000000000000000000e-03	7.9457120072321101272029313240696459928702126050163918359603432151061497279442846775054931640625000000e-19
3	-9.1756526789291345536092592283239355310797691345214843750000000000000000000000000000000000000000000000e-03	2.2473867366676794659565156073782473871274736480139989566739977533416094956919550895690917968750000000e-18
4	-3.3709111301017738449026239777595037594437599182128906250000000000000000000000000000000000000000000000e-02	-4.1281755256893236887878154488691170546864720308766465856065153161580383311957120895385742187500000000e-18
5	6.5436318307807968611133908609645004617050290107727050781250000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
6	1.3761687061696573075586513823509449139237403869628906250000000000000000000000000000000000000000000000e-02	-1.6853206010974251541149986989969499675249443007205279315696699882209941279143095016479492187500000000e-18
7	2.0621847639456156869863789893315697554498910903930664062500000000000000000000000000000000000000000000e-02	-5.0508959408328777996094386377891685134362766314286563584801115212030708789825439453125000000000000000e-18
8	2.0621847639456153400416837939701508730649948120117187500000000000000000000000000000000000000000000000e-02	-7.5763439112493151586702024468950703253720608792011297072388487094940501265227794647216796875000000000e-18
9	1.6654313218439097121770231524351402185857295989990234375000000000000000000000000000000000000000000000e-02	4.0791302749917779120477236901663730666956637103753250533921814735549560282379388809204101562500000000e-18
10	-7.0560877716999191935909330197773670079186558723449707031250000000000000000000000000000000000000000000e-03	-8.6412153041150828805864663805628206536425006270639003619349338691790762823075056076049804687500000000e-19
11	-8.4377138017805441982943648326909169554710388183593750000000000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
12	-3.3017352691120179127015621389773514238186180591583251953125000000000000000000000000000000000000000000e-03	4.0434595289499592839097751579349287838755851684625723923421913852394027344416826963424682617187500000e-19
13	8.4377138017805424635708888558838225435465574264526367187500000000000000000000000000000000000000000000e-03	-2.0666438398943964571164588836148357726969671794940968528875302467895380686968564987182617187500000000e-18
14	1.9626306086565101921559417519347334746271371841430664062500000000000000000000000000000000000000000000e-02	-7.2105878783994507859251677051649573044328334664085887462103841016869409941136837005615234375000000000e-18
15	1.6024811815921427560205358986422652378678321838378906250000000000000000000000000000000000000000000000e-02	-7.8498937989227417773550383576440328073905252265251089593967037671973230317234992980957031250000000000e-18
16	3.0507684136443408845495994796692684758454561233520507812500000000000000000000000000000000000000000000e-02	1.1208341318128171899116237413193465760293018744812258008503036421643628273159265518188476562500000000e-17
