kd 	 theta 	 phi
0	1.5708	(25.6,0)	
----------------------------

1	1.2194902975829778613015008659203886054456233978271484375000000000000000000000000000000000000000000000e-02	-2.6711837071031637597107177839461655821651220321655273437500000000000000000000000000000000000000000000e-02
2	1.4029614905489023626796109142246429046868474268923367327677187432755090412683784961700439453125000000e-18	-2.1207469334413895228935347018734279663261406073736063671031359945118310861289501190185546875000000000e-18
3	1.6201301214381395865427037961126188747584819793701171875000000000000000000000000000000000000000000000e-02	-2.4490237329833519641653083454002626240253448486328125000000000000000000000000000000000000000000000000e-02
4	-3.3919345547562769482841105173065443523228168487548828125000000000000000000000000000000000000000000000e-02	-1.7120637090135434887905319101264467462897300720214843750000000000000000000000000000000000000000000000e-02
5	3.0016939640884475668806744439440903453532803510481370701246106591497664339840412139892578125000000000e-19	-4.5374255190564702242626035250344227338648113748517274809723964779095695121213793754577636718750000000e-19
6	2.0012895639591713088656366181794510339386761188507080078125000000000000000000000000000000000000000000e-03	-3.0251925903070548719286936290018275030888617038726806640625000000000000000000000000000000000000000000e-03
7	3.5535830025818900568613920199482201831400240240774971584025720972022099886089563369750976562500000000e-18	3.0041584449910770227258756566469990096455036679255626644313714734835230046883225440979003906250000000e-18
8	2.9017207288305743584366780396521789953112602233886718750000000000000000000000000000000000000000000000e-02	2.4530815310036233750645706663817691151052713394165039062500000000000000000000000000000000000000000000e-02
9	-2.2663477832025102909341285339905880391597747802734375000000000000000000000000000000000000000000000000e-02	3.7319345560717413767815031633290345780551433563232421875000000000000000000000000000000000000000000000e-02
10	6.1369682087185980471850718246573974577022295250801624429126679416413026046939194202423095703125000000e-19	-2.3049011260477174351803266412439552880755631231911783815546890252790035447105765342712402343750000000e-18
11	3.1693705452227037035195511549545699381269514560699462890625000000000000000000000000000000000000000000e-03	-1.1903411407880775188528055252845661016181111335754394531250000000000000000000000000000000000000000000e-02
12	2.3791488421120346248993578409731461830077126367086583560994661468157573835924267768859863281250000000e-18	-1.0819178208081271183806237793689527811980223187106960221204321470622744527645409107208251953125000000e-18
13	1.1216313351669447359593156932078272802755236625671386718750000000000000000000000000000000000000000000e-02	-5.1006179538421224720079472092493233503773808479309082031250000000000000000000000000000000000000000000e-03
14	-4.9574084491620554017787271008796656743488923897223742687234704362708725966513156890869140625000000000e-18	4.2802037787925308109109507408137792412332350284575720883450955511762003879994153976440429687500000000e-18
15	-3.3052036324442368719900287032942287623882293701171875000000000000000000000000000000000000000000000000e-02	2.8536976975657234179006849217330454848706722259521484375000000000000000000000000000000000000000000000e-02
16	3.7830630023862610311624621317605488002300262451171875000000000000000000000000000000000000000000000000e-02	2.9564808101459196659765993331347999628633260726928710937500000000000000000000000000000000000000000000e-02
