kd 	 theta 	 phi
3.14159	1.5708	(12.8,0)	
----------------------------

1	9.1945499546335195811819218647542584221810102462768554687500000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
2	-2.3100649601287237178269515532617135329959982146050137888360076487970218295231461524963378906250000000e-18	2.8290136592440996010448140153512678363367756302921265797718132064844037937362139251913140981786742856e-34
3	2.6676468667141128854325415886705741286277770996093750000000000000000000000000000000000000000000000000e-02	-6.5338503931538076725767396317974941285505710274477027266204487432332825846970081329345703125000000000e-18
4	7.4911552502553616084135512664943234995007514953613281250000000000000000000000000000000000000000000000e-02	9.1740192991411187557618935847448177272020713749422181348958105218116543255746364593505859375000000000e-18
5	9.8849584884295922306664850458865053333601516748202616899354744361971825128421187400817871093750000000e-19	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
6	-6.5905000642100374647069926936637784820050001144409179687500000000000000000000000000000000000000000000e-03	8.0710348084152457743832999705152158397297884941744392124640672392388296429999172687530517578125000000e-19
7	7.1970276014552045466744742274863933836815147268182665807323417084262473508715629577636718750000000000e-18	-1.7627633630994536881574831172436942706924004423968410437508979600768905648857034277308692554742108882e-33
8	-5.8768190195459223124085923473103321157395839691162109375000000000000000000000000000000000000000000000e-02	2.1591082804365604395559689623727085482350419772803670759309113691415404900908470153808593750000000000e-17
9	-3.4195074559538601866037765830697026103734970092773437500000000000000000000000000000000000000000000000e-02	-8.3753777211888050710773592111052004160265137185656728058269493430998409166932106018066406250000000000e-18
10	3.9419657674825485289749029733331731834306259095394148455476779346895455091726034879684448242187500000e-19	4.8275157594959342902251688646723584883684028879903444189741703058013402973913084364789287828562125426e-35
11	-2.0357853860129386525112948902460630051791667938232421875000000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
12	-6.4820156052499760532271333928155845383778800658112952820522068009267968591302633285522460937500000000e-18	7.9381796629925760283569310727712842085118839056609822385274851253957810440363498745886157437201546827e-34
13	3.0558961630308672380307299931700981687754392623901367187500000000000000000000000000000000000000000000e-02	-7.4847869091648598430955225189203123277324804590534580717164914176464662887156009674072265625000000000e-18
14	1.1440290640238126478704082075111075106851481749477197208397782901556638535112142562866210937500000000e-17	-4.2030945941649135034836076130761646219124430479642975433359417122949751136857734915355799820702031866e-33
15	-7.6274712015557744049232269389904104173183441162109375000000000000000000000000000000000000000000000000e-02	3.7363832770295576564403893679865586483281080561885678648081920982804149389266967773437500000000000000e-17
16	-8.0281209022812785591760587067255983129143714904785156250000000000000000000000000000000000000000000000e-02	-2.9494837698440195366012208056724724054710672592732184638109060870192479342222213745117187500000000000e-17
17	-9.7783573745930857781519181727507052643189811366860805796896727315470343455672264099121093750000000000e-18	-2.3950068119428680166510146455322549113285327089434668301047815315692955984299601758589614436401049602e-33
18	4.2679667927386026604619218005609582178294658660888671875000000000000000000000000000000000000000000000e-02	5.2267518715945221273012523259001992586257209887090364325290536839929700363427400588989257812500000000e-18
19	6.4095762453227572253012786020433285785816098328025215702385963822962366975843906402587890625000000000e-18	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
20	-2.3406337568494407080921249075800005812197923660278320312500000000000000000000000000000000000000000000e-02	2.8664496383019111149682439669749065499310965223633699064387236887796461815014481544494628906250000000e-18
21	-1.7315374146936188044099664352625120683305261403214661899974124992240831488743424415588378906250000000e-18	4.2410435050168464696431548555119727594123206904255910469110854042362174650580069314783227679699351143e-34
22	6.6652243387538044963602779091615957440808415412902832031250000000000000000000000000000000000000000000e-03	-2.4487636956161653112943089272906843804863189048066527894742527848848112626001238822937011718750000000e-18
23	-2.5985699947550327393346934008294821278628908477962688311491135095820936840027570724487304687500000000e-18	1.2729321705748423188946684450858099700996113870651735939160921698236816125077005578850953063096973494e-33
24	1.5004052319072657545317994731703947763890027999877929687500000000000000000000000000000000000000000000e-02	-9.1873323233958763844154244340116722295125716279398306318704214845638489350676536560058593750000000000e-18
25	8.8185271699269984768676522435271181166172027587890625000000000000000000000000000000000000000000000000e-02	4.3198324287380268014885729104951696353964489961518163907427947378891985863447189331054687500000000000e-17
26	9.6622709345352053732408906049176756930702374939930188180170489431475289165973663330078125000000000000e-18	3.5498607517419138669304647006313241067585062096623290515390409382596966514664402878487421688635805594e-33
27	-3.7193076426761888242378262248166720382869243621826171875000000000000000000000000000000000000000000000e-02	-9.1096763992953604300034864492732447461649014831428991523232241434016032144427299499511718750000000000e-18
28	-2.5968116846301050541684952694428797322153346074024519302136937426439544651657342910766601562500000000e-18	-3.1801771175707042580556966187604789994439267862500251281693827719217737595062048660201508600009479011e-34
29	8.0145766156313903022523348340655502397567033767700195312500000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
30	-6.1727117291135319798612004234678005207406960675538178801025068764829484280198812484741210937500000000e-18	7.5593916611182122743605130765508419023146677641016571154190362401364645593781513939810436444877161932e-34
31	1.8404944497010033294115416424574505072087049484252929687500000000000000000000000000000000000000000000e-02	-4.5079112733496056407583274618417337487094781070344744894340394125720195006579160690307617187500000000e-18
32	1.4523623846257652609090682665436091354890382152395891801610616766993189230561256408691406250000000000e-17	-5.3358928366018802407583619998581285339073410345336289460560234481452089788908875629940692375541289039e-33
33	-4.8415956426808473556100409496139036491513252258300781250000000000000000000000000000000000000000000000e-02	2.3716978426299486567675230325986940773629281224601887678726797048511798493564128875732421875000000000e-17
34	-1.9991193252669862182440670903683419505093722459416853698410676543062436394393444061279296875000000000e-17	1.2241075414009154766039438388418365444380224913573522641490980083780810423553221623002573714700247365e-32
35	1.0324234524932633660920799911764333955943584442138671875000000000000000000000000000000000000000000000e-01	-7.5861244587632045297789251188609167503978179922415059355245148253743536770343780517578125000000000000e-17
36	2.5468065945807482480800487678607169073075056076049804687500000000000000000000000000000000000000000000e-02	1.5594692720503423780673088713057053195854047091309900474609406728632166050374507904052734375000000000e-17
37	7.8154391010362927210869894118300467177414354838960348914600473335667629726231098175048828125000000000e-18	3.8284609916060662514663880148991949522094780731186508595626659428614285728135514119295154666922087472e-33
38	-2.7212045401738674255120997713675023987889289855957031250000000000000000000000000000000000000000000000e-02	-9.9975432898475154232331214734286104181780548448088899449182065382046857848763465881347656250000000000e-18
39	-1.1944569452554355906180074775866242012032399196148121228722160935831198003143072128295898437500000000e-17	-2.9255757494527882948106065261183286210354931303738498801803982246062017724455191180468662665026258196e-33
40	3.2511603783421820501597920838321442715823650360107421875000000000000000000000000000000000000000000000e-02	3.9815231508514506847733953337981786333588380087644947175062881683516025077551603317260742187500000000e-18
