kd 	 theta 	 phi
3.14159	0.785398	(18.1019,0)	
----------------------------

1	-4.137209649e-02	-4.630535865e-02
2	1.617605725e-02	2.458804651e-02
3	-1.143819977e-02	-1.738637443e-02
4	4.546417756e-02	-3.364409575e-02
5	2.800216227e-02	-2.593653980e-02
6	-3.994718644e-02	2.317493420e-02
7	3.492403058e-02	-1.541511191e-02
8	-1.746201529e-02	7.707555953e-03
9	2.146871269e-02	4.029682361e-02
10	3.261817993e-02	5.333499816e-02
11	5.685045829e-03	-6.793090156e-03
12	-1.920220039e-02	-3.604257474e-02
13	1.325941169e-02	4.983642424e-02
14	-7.320243255e-03	-3.740831770e-02
15	2.988476795e-03	1.527188175e-02
16	3.746409368e-02	4.516798197e-02
17	-2.649111469e-02	-3.193858634e-02
18	0.000000000e+00	0.000000000e+00
19	-4.489142574e-02	2.953330482e-02
20	-2.244571287e-02	1.476665241e-02
21	5.498054344e-02	-3.617076361e-02
22	-2.244571287e-02	1.476665241e-02
23	0.000000000e+00	0.000000000e+00
24	-1.766022929e-02	-4.001050343e-02
25	-2.162927525e-02	-4.900265887e-02
26	9.119703190e-03	2.066133513e-02
27	2.369368391e-02	5.367972329e-02
28	-2.279925797e-02	-5.165333781e-02
29	7.209758416e-03	1.633421962e-02
30	0.000000000e+00	0.000000000e+00
31	1.617605725e-02	2.458804651e-02
32	-2.993389672e-02	-2.891898422e-02
33	-1.617605725e-02	-2.458804651e-02
34	-2.469501885e-02	1.090013016e-02
35	-4.894500020e-03	-7.439773012e-03
36	5.249751031e-02	-3.884885548e-02
37	4.894500020e-03	7.439773012e-03
38	-2.469501885e-02	1.090013016e-02
39	-4.226344414e-03	-2.159770229e-02
40	3.767977642e-03	-2.082074324e-02
41	2.590087475e-02	3.097476432e-02
42	1.924824215e-02	5.446230731e-02
43	-2.590087475e-02	-3.097476432e-02
44	3.767977642e-03	-2.082074324e-02
45	4.226344414e-03	2.159770229e-02
46	-2.649111469e-02	-3.193858634e-02
47	0.000000000e+00	0.000000000e+00
48	-2.649111469e-02	-3.193858634e-02
49	3.174303155e-02	-2.088320011e-02
50	3.174303155e-02	-2.088320011e-02
51	0.000000000e+00	0.000000000e+00
52	3.174303155e-02	-2.088320011e-02
53	-3.174303155e-02	2.088320011e-02
54	1.248766789e-02	2.829169829e-02
55	2.039227627e-02	4.620014985e-02
56	9.672905952e-03	2.191465526e-02
57	3.351804192e-18	3.351804192e-18
58	9.672905952e-03	2.191465526e-02
59	-2.039227627e-02	-4.620014985e-02
60	1.248766789e-02	2.829169829e-02
61	-1.143819977e-02	-1.738637443e-02
62	-1.617605725e-02	-2.458804651e-02
63	-4.137209649e-02	-4.630535865e-02
64	1.746201529e-02	-7.707555953e-03
65	3.492403058e-02	-1.541511191e-02
66	3.994718644e-02	-2.317493420e-02
67	2.800216227e-02	-2.593653980e-02
68	-4.546417756e-02	3.364409575e-02
69	2.988476795e-03	1.527188175e-02
70	7.320243255e-03	3.740831770e-02
71	1.325941169e-02	4.983642424e-02
72	1.920220039e-02	3.604257474e-02
73	5.685045829e-03	-6.793090156e-03
74	-3.261817993e-02	-5.333499816e-02
75	2.146871269e-02	4.029682361e-02
76	0.000000000e+00	0.000000000e+00
77	-2.649111469e-02	-3.193858634e-02
78	-3.746409368e-02	-4.516798197e-02
79	0.000000000e+00	0.000000000e+00
80	2.244571287e-02	-1.476665241e-02
81	5.498054344e-02	-3.617076361e-02
82	2.244571287e-02	-1.476665241e-02
83	-4.489142574e-02	2.953330482e-02
84	0.000000000e+00	0.000000000e+00
85	7.209758416e-03	1.633421962e-02
86	2.279925797e-02	5.165333781e-02
87	2.369368391e-02	5.367972329e-02
88	-9.119703190e-03	-2.066133513e-02
89	-2.162927525e-02	-4.900265887e-02
90	1.766022929e-02	4.001050343e-02
91	-4.546417756e-02	3.364409575e-02
92	2.469501885e-02	-1.090013016e-02
93	-1.746201529e-02	7.707555953e-03
94	-3.336343612e-02	-3.862276015e-02
95	-1.730246591e-02	-2.975466664e-02
96	1.256302189e-02	4.025022412e-02
97	-6.735263675e-03	-3.441892224e-02
98	3.367631838e-03	1.720946112e-02
99	3.113370796e-02	-2.796555295e-02
100	4.724626494e-02	-2.836857314e-02
101	-2.070695838e-03	6.979558931e-04
102	-3.667206303e-02	4.961521619e-03
103	4.743052016e-02	1.747610745e-03
104	-3.495348422e-02	-3.016697780e-03
105	1.426970018e-02	1.231561712e-03
106	4.489142574e-02	-2.953330482e-02
107	-3.174303155e-02	2.088320011e-02
108	0.000000000e+00	0.000000000e+00
109	2.895622723e-02	3.912933390e-02
110	5.422710280e-03	2.552206266e-02
111	-2.437343200e-02	-5.521974085e-02
112	9.950411948e-03	2.254336480e-02
113	0.000000000e+00	0.000000000e+00
114	-3.230706101e-02	2.385788195e-02
115	-4.538525609e-02	1.604020179e-02
116	1.484368735e-02	-1.648791803e-02
117	5.449649682e-02	-6.743000589e-03
118	-5.090627250e-02	9.961589316e-03
119	1.609797683e-02	-3.150131135e-03
120	0.000000000e+00	0.000000000e+00
121	-2.800216227e-02	2.593653980e-02
122	4.894500020e-03	7.439773012e-03
123	-3.492403058e-02	1.541511191e-02
124	-1.730246591e-02	-2.975466664e-02
125	-3.527940540e-02	-1.908117123e-02
126	-4.314042249e-03	1.904174373e-03
127	-1.451662556e-03	-3.675105004e-02
128	6.735263675e-03	3.441892224e-02
129	2.673091272e-02	-6.778711517e-03
130	3.485679155e-02	-3.314710238e-02
131	9.114331858e-03	-3.556308913e-02
132	5.221394293e-03	1.415888891e-02
133	2.350737295e-02	9.066621762e-03
134	-4.734295761e-02	-7.795227022e-03
135	2.853940036e-02	2.463123423e-03
136	2.244571287e-02	-1.476665241e-02
137	-3.174303155e-02	2.088320011e-02
138	-2.244571287e-02	1.476665241e-02
139	5.422710280e-03	2.552206266e-02
140	4.527701668e-03	-2.978697854e-03
141	-2.991871140e-02	-5.157159593e-02
142	2.986024503e-18	2.986024503e-18
143	9.950411948e-03	2.254336480e-02
144	-2.327829862e-02	-4.212727072e-03
145	-1.609797683e-02	3.150131135e-03
146	3.747399797e-02	-2.805351752e-03
147	4.653076391e-02	-2.478993410e-02
148	-3.287497993e-02	1.322475367e-02
149	-1.609797683e-02	3.150131135e-03
150	1.971591456e-02	-3.858106952e-03
151	3.994718644e-02	-2.317493420e-02
152	-5.249751031e-02	3.884885548e-02
153	-3.994718644e-02	2.317493420e-02
154	1.256302189e-02	4.025022412e-02
155	-4.314042249e-03	1.904174373e-03
156	-5.051113313e-02	-8.714163977e-02
157	4.314042249e-03	-1.904174373e-03
158	1.256302189e-02	4.025022412e-02
159	-3.421517223e-02	7.562655349e-04
160	-2.853940036e-02	-2.463123423e-03
161	5.407480709e-02	-2.333891105e-02
162	8.033992204e-02	-2.996204456e-02
163	-5.407480709e-02	2.333891105e-02
164	-2.853940036e-02	-2.463123423e-03
165	3.421517223e-02	-7.562655349e-04
166	-5.498054344e-02	3.617076361e-02
167	0.000000000e+00	0.000000000e+00
168	-5.498054344e-02	3.617076361e-02
169	-2.437343200e-02	-5.521974085e-02
170	-2.991871140e-02	-5.157159593e-02
171	0.000000000e+00	0.000000000e+00
172	-2.991871140e-02	-5.157159593e-02
173	2.437343200e-02	5.521974085e-02
174	4.829393049e-02	-9.450393406e-03
175	7.530127419e-02	-2.350326183e-02
176	3.290221870e-02	-1.752913051e-02
177	0.000000000e+00	0.000000000e+00
178	3.290221870e-02	-1.752913051e-02
179	-7.530127419e-02	2.350326183e-02
180	4.829393049e-02	-9.450393406e-03
181	-3.492403058e-02	1.541511191e-02
