kd 	 theta 	 phi
3.14159	1.5708	(12.8,0)	
----------------------------

1	9.194549955e-03	-5.840958786e-02
2	-2.310064960e-18	4.570418035e-18
3	2.667646867e-02	-5.277886796e-02
4	7.491155250e-02	1.793830929e-02
5	9.884958488e-19	-1.955719572e-18
6	-6.590500064e-03	1.303917460e-02
7	7.197027601e-18	6.108248449e-18
8	-5.876819020e-02	-4.987763373e-02
9	-3.419507456e-02	8.252521780e-02
10	3.941965767e-19	5.911475235e-18
11	-2.035785386e-03	-3.052917149e-02
12	-6.482015605e-18	6.077978200e-19
13	3.055896163e-02	-2.865415851e-03
14	1.144029064e-17	-7.021157157e-18
15	-7.627471202e-02	4.681146284e-02
16	-2.206605793e-18	6.850936262e-18
17	2.548172944e-02	-7.911413302e-02
18	0.000000000e+00	0.000000000e+00
19	-8.344403517e-18	-4.217582293e-18
20	6.813722555e-02	3.443917296e-02
21	1.021976541e-17	5.165462283e-18
22	-6.813722555e-02	-3.443917296e-02
23	0.000000000e+00	0.000000000e+00
24	6.997877721e-18	-8.245230941e-18
25	-4.665625417e-02	5.497260824e-02
26	-1.084106555e-17	1.277345685e-17
27	5.110936571e-02	-6.021947515e-02
28	9.034221290e-18	-1.064454737e-17
29	-4.665625417e-02	5.497260824e-02
30	0.000000000e+00	0.000000000e+00
31	-2.310064960e-18	4.570418035e-18
32	3.587101862e-02	-1.111884558e-01
33	2.310064960e-18	-4.570418035e-18
34	-5.089067021e-18	-4.319183900e-18
35	9.452585257e-02	4.795311318e-02
36	1.360703416e-17	8.321526217e-18
37	-9.452585257e-02	-4.795311318e-02
38	-5.089067021e-18	-4.319183900e-18
39	6.605054881e-18	-4.053666974e-18
40	-6.377976102e-02	7.467256738e-02
41	-1.499618040e-17	1.470725500e-17
42	6.986722764e-02	-8.179969917e-02
43	1.499618040e-17	-1.470725500e-17
44	-6.377976102e-02	7.467256738e-02
45	-6.605054881e-18	4.053666974e-18
46	2.548172944e-02	-7.911413302e-02
47	0.000000000e+00	0.000000000e+00
48	2.548172944e-02	-7.911413302e-02
49	9.636058848e-02	4.870434548e-02
50	5.900384312e-18	2.982281040e-18
51	0.000000000e+00	0.000000000e+00
52	5.900384312e-18	2.982281040e-18
53	-9.636058848e-02	-4.870434548e-02
54	-8.081100271e-02	9.521535049e-02
55	-8.080453172e-18	9.520772606e-18
56	2.086531118e-02	-2.458449778e-02
57	-7.442500376e-34	0.000000000e+00
58	2.086531118e-02	-2.458449778e-02
59	8.080453172e-18	-9.520772606e-18
60	-8.081100271e-02	9.521535049e-02
61	2.667646867e-02	-5.277886796e-02
62	2.310064960e-18	-4.570418035e-18
63	9.194549955e-03	-5.840958786e-02
64	5.876819020e-02	4.987763373e-02
65	7.197027601e-18	6.108248449e-18
66	6.590500064e-03	-1.303917460e-02
67	9.884958488e-19	-1.955719572e-18
68	-7.491155250e-02	-1.793830929e-02
69	-7.627471202e-02	4.681146284e-02
70	-1.144029064e-17	7.021157157e-18
71	3.055896163e-02	-2.865415851e-03
72	6.482015605e-18	-6.077978200e-19
73	-2.035785386e-03	-3.052917149e-02
74	-3.941965767e-19	-5.911475235e-18
75	-3.419507456e-02	8.252521780e-02
76	0.000000000e+00	0.000000000e+00
77	2.548172944e-02	-7.911413302e-02
78	2.206605793e-18	-6.850936262e-18
79	0.000000000e+00	0.000000000e+00
80	6.813722555e-02	3.443917296e-02
81	1.021976541e-17	5.165462283e-18
82	-6.813722555e-02	-3.443917296e-02
83	-8.344403517e-18	-4.217582293e-18
84	0.000000000e+00	0.000000000e+00
85	-4.665625417e-02	5.497260824e-02
86	-9.034221290e-18	1.064454737e-17
87	5.110936571e-02	-6.021947515e-02
88	1.084106555e-17	-1.277345685e-17
89	-4.665625417e-02	5.497260824e-02
90	-6.997877721e-18	8.245230941e-18
91	-7.491155250e-02	-1.793830929e-02
92	5.089067021e-18	4.319183900e-18
93	-5.876819020e-02	-4.987763373e-02
94	2.342248394e-02	-9.661386303e-02
95	-2.177653751e-18	-1.848214413e-18
96	1.451885428e-02	1.232241615e-02
97	1.052606741e-17	-6.460078321e-18
98	-8.595186318e-02	5.275054265e-02
99	1.084078282e-01	3.575503620e-02
100	7.727668572e-18	3.713157009e-19
101	-3.990870463e-02	-1.917619589e-03
102	-1.559541104e-18	7.918904579e-18
103	7.352336012e-03	-3.733306365e-02
104	-2.652154395e-18	-1.743793448e-17
105	1.768244523e-02	1.162622063e-01
106	8.344403517e-18	4.217582293e-18
107	-9.636058848e-02	-4.870434548e-02
108	0.000000000e+00	0.000000000e+00
109	-6.202499432e-18	1.014208445e-17
110	5.064725141e-02	-8.281640435e-02
111	9.657988807e-18	-1.137949980e-17
112	-6.439174826e-02	7.586940730e-02
113	0.000000000e+00	0.000000000e+00
114	-1.022414363e-17	-8.732704122e-18
115	6.816641597e-02	5.822268970e-02
116	1.365233841e-17	1.610528172e-17
117	-6.436289436e-02	-7.592710602e-02
118	-9.554584688e-18	-1.556826365e-17
119	4.934361439e-02	8.040060595e-02
120	0.000000000e+00	0.000000000e+00
121	-9.884958488e-19	1.955719572e-18
122	-9.452585257e-02	-4.795311318e-02
123	-7.197027601e-18	-6.108248449e-18
124	-2.177653751e-18	-1.848214413e-18
125	4.120437625e-02	-8.152204705e-02
126	1.200272366e-17	-8.666478167e-18
127	-6.816997087e-02	6.784235863e-02
128	-1.052606741e-17	6.460078321e-18
129	2.826357459e-18	-1.734597531e-18
130	6.967072909e-02	4.075877442e-02
131	7.073609047e-18	1.418562641e-17
132	-5.638928455e-02	-6.798417761e-02
133	-5.544026512e-18	-2.071382279e-17
134	3.328154807e-02	8.336278435e-02
135	2.165474996e-18	1.423801388e-17
136	-6.813722555e-02	-3.443917296e-02
137	-5.900384312e-18	-2.982281040e-18
138	-6.813722555e-02	-3.443917296e-02
139	5.064725141e-02	-8.281640435e-02
140	8.727322543e-18	-8.865941796e-18
141	-1.683350203e-02	-8.508298997e-03
142	-6.630306312e-34	0.000000000e+00
143	-6.439174826e-02	7.586940730e-02
144	8.348646836e-02	7.130794061e-02
145	9.064274913e-18	1.476935171e-17
146	-3.699235957e-03	-3.945144982e-02
147	-7.846636116e-19	-8.368246163e-18
148	-3.346069843e-02	-4.385085277e-03
149	-3.021424971e-18	-4.923117236e-18
150	6.043333866e-02	9.847022979e-02
151	6.590500064e-03	-1.303917460e-02
152	-1.360703416e-17	-8.321526217e-18
153	-6.590500064e-03	1.303917460e-02
154	1.451885428e-02	1.232241615e-02
155	1.200272366e-17	-8.666478167e-18
156	-3.882018949e-02	-2.374089907e-02
157	-1.200272366e-17	8.666478167e-18
158	1.451885428e-02	1.232241615e-02
