kd 	 theta 	 phi
3.14159	2.35619	(18.1019,0)	
----------------------------

1	-4.1372096492350379781655078659241553395986557006835937500000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
2	-1.6176057247786434362124552421846601646393537521362304687500000000000000000000000000000000000000000000e-02	1.9809956731326001511158815948632561715955753073114360349182838660908601013943552970886230468750000000e-18
3	-1.1438199772771592832576459386473288759589195251464843750000000000000000000000000000000000000000000000e-02	2.8015509479465426878915917733580159852068100438101999269391306768284266581758856773376464843750000000e-18
4	4.5464177560826907198432422774203587323427200317382812500000000000000000000000000000000000000000000000e-02	5.5677559525733592575820778846235278688244248117646985341000487323981360532343387603759765625000000000e-18
5	-2.8002162270763884116542286051299015525728464126586914062500000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
6	-3.9947186437219291132993959081431967206299304962158203125000000000000000000000000000000000000000000000e-02	4.8921194005283161301343697851413193231124669310856938747589239824264950584620237350463867187500000000e-18
7	-3.4924030580126046163780273445809143595397472381591796875000000000000000000000000000000000000000000000e-02	8.5539204526551295672601829020722993695288534731608308392392103769452660344541072845458984375000000000e-18
8	-1.7462015290063019612443184769290382973849773406982421875000000000000000000000000000000000000000000000e-02	6.4154403394913452495151927893183714711686975199433045913277595673207542859017848968505859375000000000e-18
9	2.1468712690742033921686982012033695355057716369628906250000000000000000000000000000000000000000000000e-02	5.2583180557062776136455488563979402052308474082990049497388085342208796646445989608764648437500000000e-18
10	-3.2618179932734518711168192339755478315055370330810546875000000000000000000000000000000000000000000000e-02	-3.9945749648635769400676902603039646033006827606579979689227499761727813165634870529174804687500000000e-18
11	5.6850458290426970214825885818754613865166902542114257812500000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
12	1.9202200386364637330061100328748580068349838256835937500000000000000000000000000000000000000000000000e-02	-2.3515913239747525985783482664313169819605979068348304561464345852073165588080883026123046875000000000e-18
13	1.3259411685419025817012084189627785235643386840820312500000000000000000000000000000000000000000000000e-02	-3.2476192158250843824211485375264725013769924403514216190713703724668448558077216148376464843750000000e-18
14	7.3202432552596854997695174915861571207642555236816406250000000000000000000000000000000000000000000000e-03	-2.6894137414601319057550596385179211226512042596202556321571819353266619145870208740234375000000000000e-18
15	2.9884767947393918105514210026285581989213824272155761718750000000000000000000000000000000000000000000e-03	-1.4639314164014945911697520491650755008591403342243565145752715039861868717707693576812744140625000000e-18
16	-3.3767138603507322602848006454223650507628917694091796875000000000000000000000000000000000000000000000e-02	-1.2405845462145078895942649545572339103142441343039566875594559292039775755256414413452148437500000000e-17
17	6.3069097956892875012080423857696587219834327697753906250000000000000000000000000000000000000000000000e-02	1.5447473787603950634401261180495957223719911209744611035876715732229058630764484405517578125000000000e-17
18	-3.2261834941160798251313934770223568193614482879638671875000000000000000000000000000000000000000000000e-02	-3.9509352895312802334042772661675544508525042590387117702466213131629046984016895294189453125000000000e-18
