kd 	 theta 	 phi
0	0.785398	(36.2039,0)	
----------------------------

1	-3.0955909407492127050076646810339298099279403686523437500000000000000000000000000000000000000000000000e-02	-2.6301531791663819090376641440798266557976603507995605468750000000000000000000000000000000000000000000e-03
2	-1.4481598628323334373990682877320068655535578727722167968750000000000000000000000000000000000000000000e-02	-2.3134980239213277959653414228569090482778847217559814453125000000000000000000000000000000000000000000e-03
3	-1.0240036592509238824733053263571491697803139686584472656250000000000000000000000000000000000000000000e-02	-1.6358901409764491346326975573788331530522555112838745117187500000000000000000000000000000000000000000e-03
4	-3.6969931673680165619411130961680100881494581699371337890625000000000000000000000000000000000000000000e-03	2.8102770760150604795191142670773842837661504745483398437500000000000000000000000000000000000000000000e-02
5	1.4318628630884367661929568171785831509623676538467407226562500000000000000000000000000000000000000000e-03	-1.8900174654292768022800785843173798639327287673950195312500000000000000000000000000000000000000000000e-02
6	4.2834978636346592723027626448129012715071439743041992187500000000000000000000000000000000000000000000e-03	-2.2743740504266900942509366245758428703993558883666992187500000000000000000000000000000000000000000000e-02
7	4.5302606085591600251771815521806274773553013801574707031250000000000000000000000000000000000000000000e-03	-1.8405192211715673544780713655200088396668434143066406250000000000000000000000000000000000000000000000e-02
8	2.2651303042795804462694597702920873416587710380554199218750000000000000000000000000000000000000000000e-03	-9.2025961058578315682199288971787609625607728958129882812500000000000000000000000000000000000000000000e-03
9	2.2464406380064846913136022976686945185065269470214843750000000000000000000000000000000000000000000000e-02	4.6588511334374393610402442789109045406803488731384277343750000000000000000000000000000000000000000000e-03
10	-3.0790897022045321529404304783383850008249282836914062500000000000000000000000000000000000000000000000e-02	-5.4432016593373121204901821101884706877171993255615234375000000000000000000000000000000000000000000000e-03
11	-1.4448613813901024175573306607134327350649982690811157226562500000000000000000000000000000000000000000e-03	-2.3858817768305112284876745576411849469877779483795166015625000000000000000000000000000000000000000000e-03
12	2.0092775896001981161820282295593642629683017730712890625000000000000000000000000000000000000000000000e-02	4.1670031325672218097677657056010502856224775314331054687500000000000000000000000000000000000000000000e-03
13	2.4436614720038451337158491583068098407238721847534179687500000000000000000000000000000000000000000000e-02	8.0481989860540070064187645471065479796379804611206054687500000000000000000000000000000000000000000000e-03
14	1.7679974945227633353894702850084286183118820190429687500000000000000000000000000000000000000000000000e-02	6.4940111510056394705792115473741432651877403259277343750000000000000000000000000000000000000000000000e-03
15	7.2178195468331155654206909844106121454387903213500976562500000000000000000000000000000000000000000000e-03	2.6511689506513165352774574756722358870320022106170654296875000000000000000000000000000000000000000000e-03
16	5.3450715358101304891524918616596551146358251571655273437500000000000000000000000000000000000000000000e-03	-1.6926689708863788819126483531363192014396190643310546875000000000000000000000000000000000000000000000e-02
