kd 	 theta 	 phi
0	1.5708	(12.8,0)	
----------------------------

1	9.1945499546335195811819218647542584221810102462768554687500000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
2	2.3100649601287237178269515532617135329959982146050137888360076487970218295231461524963378906250000000e-18	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
3	2.6676468667141128854325415886705741286277770996093750000000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
4	-7.4911552502553616084135512664943234995007514953613281250000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
5	9.8849584884295922306664850458865053333601516748202616899354744361971825128421187400817871093750000000e-19	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
6	6.5905000642100374647069926936637784820050001144409179687500000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
7	7.1970276014552045466744742274863933836815147268182665807323417084262473508715629577636718750000000000e-18	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
8	5.8768190195459223124085923473103321157395839691162109375000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
9	-3.4195074559538601866037765830697026103734970092773437500000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
10	-3.9419657674825485289749029733331731834306259095394148455476779346895455091726034879684448242187500000e-19	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
11	-2.0357853860129386525112948902460630051791667938232421875000000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
12	6.4820156052499760532271333928155845383778800658112952820522068009267968591302633285522460937500000000e-18	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
13	3.0558961630308672380307299931700981687754392623901367187500000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
14	-1.1440290640238126478704082075111075106851481749477197208397782901556638535112142562866210937500000000e-17	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
15	-7.6274712015557744049232269389904104173183441162109375000000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
