kd 	 theta 	 phi
0	1.5708	(12.8,0)	
----------------------------

1	9.1945499546335195811819218647542584221810102462768554687500000000000000000000000000000000000000000000e-03	-5.8409587856266827199380742285939049907028675079345703125000000000000000000000000000000000000000000000e-02
2	2.3100649601287237178269515532617135329959982146050137888360076487970218295231461524963378906250000000e-18	-4.5704180353279519983817807436819728137946162371742665070373234925682481843978166580200195312500000000e-18
3	2.6676468667141128854325415886705741286277770996093750000000000000000000000000000000000000000000000000e-02	-5.2778867962383582690399919101764680817723274230957031250000000000000000000000000000000000000000000000e-02
4	-7.4911552502553616084135512664943234995007514953613281250000000000000000000000000000000000000000000000e-02	-1.7938309287815704801127836276464222464710474014282226562500000000000000000000000000000000000000000000e-02
5	9.8849584884295922306664850458865053333601516748202616899354744361971825128421187400817871093750000000e-19	-1.9557195721227345778947604399155015636302232831479283592379658784921048209071159362792968750000000000e-18
6	6.5905000642100374647069926936637784820050001144409179687500000000000000000000000000000000000000000000e-03	-1.3039174601227311589557444904130534268915653228759765625000000000000000000000000000000000000000000000e-02
7	7.1970276014552045466744742274863933836815147268182665807323417084262473508715629577636718750000000000e-18	6.1082484493893457521064591608840626846117218528826962181677018293157743755728006362915039062500000000e-18
8	5.8768190195459223124085923473103321157395839691162109375000000000000000000000000000000000000000000000e-02	4.9877633727880933689480258408366353251039981842041015625000000000000000000000000000000000000000000000e-02
9	-3.4195074559538601866037765830697026103734970092773437500000000000000000000000000000000000000000000000e-02	8.2525217802529901578445503673719940707087516784667968750000000000000000000000000000000000000000000000e-02
10	-3.9419657674825485289749029733331731834306259095394148455476779346895455091726034879684448242187500000e-19	-5.9114752352818860571391141858517888321913335232852225453736849658525898121297359466552734375000000000e-18
11	-2.0357853860129386525112948902460630051791667938232421875000000000000000000000000000000000000000000000e-03	-3.0529171493667940640026614573798724450170993804931640625000000000000000000000000000000000000000000000e-02
12	6.4820156052499760532271333928155845383778800658112952820522068009267968591302633285522460937500000000e-18	-6.0779782002961846702786378958242573242417873092974527245158089527876654756255447864532470703125000000e-19
13	3.0558961630308672380307299931700981687754392623901367187500000000000000000000000000000000000000000000e-02	-2.8654158509318059834536374097524458193220198154449462890625000000000000000000000000000000000000000000e-03
14	-1.1440290640238126478704082075111075106851481749477197208397782901556638535112142562866210937500000000e-17	7.0211571567241811135154637697905949388353532522903319157414614437584532424807548522949218750000000000e-18
15	-7.6274712015557744049232269389904104173183441162109375000000000000000000000000000000000000000000000000e-02	4.6811462836573718149235645569206099025905132293701171875000000000000000000000000000000000000000000000e-02
