kd 	 theta 	 phi
3.14159	2.03444	(28.6217,0)	
----------------------------

1	-1.0363613744041792405492508066799928201362490653991699218750000000000000000000000000000000000000000000e-02	2.9703602071375213855564112463980563916265964508056640625000000000000000000000000000000000000000000000e-02
2	-6.4881662310832992693332421652030461700633168220520019531250000000000000000000000000000000000000000000e-03	1.3358063872406251287872080979468591976910829544067382812500000000000000000000000000000000000000000000e-02
3	-9.1756526789291293494388312979026522953063249588012695312500000000000000000000000000000000000000000000e-03	1.8891155095402990815589561179876909591257572174072265625000000000000000000000000000000000000000000000e-02
4	-3.3709111301017738449026239777595037594437599182128906250000000000000000000000000000000000000000000000e-02	-1.3552288097745231187918335535869118757545948028564453125000000000000000000000000000000000000000000000e-02
5	6.5436318307807968611133908609645004617050290107727050781250000000000000000000000000000000000000000000e-03	3.5337278213686906889329231162832911650184541940689086914062500000000000000000000000000000000000000000e-04
6	1.3761687061696573075586513823509449139237403869628906250000000000000000000000000000000000000000000000e-02	5.5326984477782458621275551990947860758751630783081054687500000000000000000000000000000000000000000000e-03
7	2.0621847639456167278204645754158264026045799255371093750000000000000000000000000000000000000000000000e-02	1.2845542533471497603780875351731083355844020843505859375000000000000000000000000000000000000000000000e-02
8	2.0621847639456156869863789893315697554498910903930664062500000000000000000000000000000000000000000000e-02	1.2845542533471492399610447421309800120070576667785644531250000000000000000000000000000000000000000000e-02
9	1.6654313218439100591217183477965591009706258773803710937500000000000000000000000000000000000000000000e-02	-3.3298530194703454543336818005627719685435295104980468750000000000000000000000000000000000000000000000e-02
10	-7.0560877716999209283144089965844614198431372642517089843750000000000000000000000000000000000000000000e-03	1.9377080782089807498014266684549511410295963287353515625000000000000000000000000000000000000000000000e-02
11	-8.4377138017805441982943648326909169554710388183593750000000000000000000000000000000000000000000000000e-03	1.3537788644158138540163349716749507933855056762695312500000000000000000000000000000000000000000000000e-02
12	-3.3017352691120179127015621389773514238186180591583251953125000000000000000000000000000000000000000000e-03	-2.0566819023768137704444303182071962510235607624053955078125000000000000000000000000000000000000000000e-03
13	8.4377138017805389941239369022696337196975946426391601562500000000000000000000000000000000000000000000e-03	-1.3537788644158131601269445809521130286157131195068359375000000000000000000000000000000000000000000000e-02
14	1.9626306086565094982665513612118957098573446273803710937500000000000000000000000000000000000000000000e-02	-2.3433165815412645982540595923637738451361656188964843750000000000000000000000000000000000000000000000e-02
15	1.6024811815921420621311455079194274730980396270751953125000000000000000000000000000000000000000000000e-02	-1.9133099768596902034989426510946941561996936798095703125000000000000000000000000000000000000000000000e-02
16	3.0507684136443405376049042843078495934605598449707031250000000000000000000000000000000000000000000000e-02	2.0000210417810634216939646989885659422725439071655273437500000000000000000000000000000000000000000000e-02
