kd 	 theta 	 phi
3.14159	1.5708	(12.8,0)	
----------------------------

1	9.1945499546335195811819218647542584221810102462768554687500000000000000000000000000000000000000000000e-03	-5.8409587856266827199380742285939049907028675079345703125000000000000000000000000000000000000000000000e-02
2	-2.3100649601287233326409626758145429218004096976195500812156780057193827815353870391845703125000000000e-18	4.5704180353279519983817807436819728137946162371742665070373234925682481843978166580200195312500000000e-18
3	2.6676468667141114976537608072248985990881919860839843750000000000000000000000000000000000000000000000e-02	-5.2778867962383589629293823008993058465421199798583984375000000000000000000000000000000000000000000000e-02
4	7.4911552502553616084135512664943234995007514953613281250000000000000000000000000000000000000000000000e-02	1.7938309287815718678915644090920977760106325149536132812500000000000000000000000000000000000000000000e-02
5	9.8849584884295922306664850458865053333601516748202616899354744361971825128421187400817871093750000000e-19	-1.9557195721227345778947604399155015636302232831479283592379658784921048209071159362792968750000000000e-18
6	-6.5905000642100322605365647632424952462315559387207031250000000000000000000000000000000000000000000000e-03	1.3039174601227311589557444904130534268915653228759765625000000000000000000000000000000000000000000000e-02
7	7.1970276014552045466744742274863933836815147268182665807323417084262473508715629577636718750000000000e-18	6.1082484493893457521064591608840626846117218528826962181677018293157743755728006362915039062500000000e-18
8	-5.8768190195459243940767635194788454100489616394042968750000000000000000000000000000000000000000000000e-02	-4.9877633727880905933904642779452842660248279571533203125000000000000000000000000000000000000000000000e-02
9	-3.4195074559538622682719477552382159046828746795654296875000000000000000000000000000000000000000000000e-02	8.2525217802529901578445503673719940707087516784667968750000000000000000000000000000000000000000000000e-02
10	3.9419657674825422697025837148166507515023125085256295967173212346779109793715178966522216796875000000e-19	5.9114752352818852867671364309574476098001564893142951301330256796973117161542177200317382812500000000e-18
11	-2.0357853860129386525112948902460630051791667938232421875000000000000000000000000000000000000000000000e-03	-3.0529171493667940640026614573798724450170993804931640625000000000000000000000000000000000000000000000e-02
12	-6.4820156052499745124831778830269020935955259978694404515708882286162406671792268753051757812500000000e-18	6.0779782002961904480684710575318164921756150640794083388207535989522511954419314861297607421875000000e-19
13	3.0558961630308672380307299931700981687754392623901367187500000000000000000000000000000000000000000000e-02	-2.8654158509318146570710172937879178789444267749786376953125000000000000000000000000000000000000000000e-03
14	1.1440290640238123397216171055533710217286773613593487547435145756935526151210069656372070312500000000e-17	-7.0211571567241857357473302991566422731824154561158964071854171606901218183338642120361328125000000000e-18
15	-7.6274712015557744049232269389904104173183441162109375000000000000000000000000000000000000000000000000e-02	4.6811462836573752843705165105347987264394760131835937500000000000000000000000000000000000000000000000e-02
16	-8.0281209022812785591760587067255983129143714904785156250000000000000000000000000000000000000000000000e-02	-5.8589731331696703886535715355421416461467742919921875000000000000000000000000000000000000000000000000e-02
17	-9.7783573745930857781519181727507052643189811366860805796896727315470343455672264099121093750000000000e-18	-3.3390157367494957916152834773108948717264864031466393978764273242632043547928333282470703125000000000e-18
18	4.2679667927386005787937506283924449235200881958007812500000000000000000000000000000000000000000000000e-02	1.4573826399417604687824834286402619909495115280151367187500000000000000000000000000000000000000000000e-02
19	6.4095762453227572253012786020433285785816098328025215702385963822962366975843906402587890625000000000e-18	-3.9336974506690060133503708163597697528067911736679527351379093147443199995905160903930664062500000000e-18
20	-2.3406337568494407080921249075800005812197923660278320312500000000000000000000000000000000000000000000e-02	1.4364982472885475667245813724548497702926397323608398437500000000000000000000000000000000000000000000e-02
21	-1.7315374146936151451430720995143912619724352289595609676042808899865121929906308650970458984375000000e-18	1.1653482871268121047758265824132809860866310675009144964819896017615974415093660354614257812500000000e-17
22	6.6652243387537914859342080831083876546472311019897460937500000000000000000000000000000000000000000000e-03	-4.4857868507894957388337786596821388229727745056152343750000000000000000000000000000000000000000000000e-02
23	-2.5985699947550419837984264595615767965570152554473978140370249434454308357089757919311523437500000000e-18	-1.7085616660937935178291269214693932894402037775774018391050645959694520570337772369384765625000000000e-17
24	1.5004052319072716525916177943145157769322395324707031250000000000000000000000000000000000000000000000e-02	9.8651753388116297793786202419141773134469985961914062500000000000000000000000000000000000000000000000e-02
25	8.8185271699270026402039945878641447052359580993652343750000000000000000000000000000000000000000000000e-02	-6.3141336454629881647093725405284203588962554931640625000000000000000000000000000000000000000000000000e-02
26	9.6622709345352099954727571342837230274172996978185833094610046600791974924504756927490234375000000000e-18	-1.1169733620643041795888421339079513292241368696685807626600706043973332270979881286621093750000000000e-17
27	-3.7193076426761895181272166155395098030567169189453125000000000000000000000000000000000000000000000000e-02	4.2995767665164594251159257964900461956858634948730468750000000000000000000000000000000000000000000000e-02
28	-2.5968116846301065949124507792315621769976886753443067606950123149545106571167707443237304687500000000e-18	1.1677693375028247074375452574519096992048768851124671691588119415428081993013620376586914062500000000e-17
29	8.0145766156313903022523348340655502397567033767700195312500000000000000000000000000000000000000000000e-03	-3.6041030160932290005160183454790967516601085662841796875000000000000000000000000000000000000000000000e-02
30	-6.1727117291135335206051559332564829655230501354956727105838254487935046199709177017211914062500000000e-18	-1.0824736849965306752703078970119880113125119640022763628506297095555055420845746994018554687500000000e-17
31	1.8404944497010047171903224239031260367482900619506835937500000000000000000000000000000000000000000000e-02	3.2275714412304416789378791463605011813342571258544921875000000000000000000000000000000000000000000000e-02
32	1.4523623846257655690578593685013456244455090288279601462573253911614301614463329315185546875000000000e-17	9.2376852744660352953082720771993330776270693038766841642672744683295604772865772247314453125000000000e-18
33	-4.8415956426808480494994313403367414139211177825927734375000000000000000000000000000000000000000000000e-02	-3.0794750157920380839726703925407491624355316162109375000000000000000000000000000000000000000000000000e-02
34	-1.9991193252669865263928581923260784394658430595300563359373313687683548778295516967773437500000000000e-17	-6.9435156195896563677389040770119220725622881439185324348173367070558015257120132446289062500000000000e-18
35	1.0324234524932635048699580693210009485483169555664062500000000000000000000000000000000000000000000000e-01	3.5859031913766659105391454431810416281223297119140625000000000000000000000000000000000000000000000000e-02
36	2.5468065945807413091861448606323392596095800399780273437500000000000000000000000000000000000000000000e-02	1.1442873454936551558258628347175545059144496917724609375000000000000000000000000000000000000000000000e-01
37	7.8154391010362834766232563530979520490473110762449059085721358997034258209168910980224609375000000000e-18	1.7645013914938617527805027189200891683775571132852463818174726384313544258475303649902343750000000000e-17
38	-2.7212045401738649968992334038375702220946550369262695312500000000000000000000000000000000000000000000e-02	-6.1436972838026945864520200757397105917334556579589843750000000000000000000000000000000000000000000000e-02
39	-1.1944569452554352824692163756288877122467691060264411567759523791210085619240999221801757812500000000e-17	-1.2866218579616139279860275152050048966476862325413431376031070385579369030892848968505859375000000000e-17
40	3.2511603783421813562704016931093065068125724792480468750000000000000000000000000000000000000000000000e-02	3.5020215865706742774943194262959877960383892059326171875000000000000000000000000000000000000000000000e-02
