kd 	 theta 	 phi
0	0.463648	(28.6217,0)	
----------------------------

1	-1.7245353253238643320699452488042879849672317504882812500000000000000000000000000000000000000000000000e-02	4.3871968392927458701979759325695340521633625030517578125000000000000000000000000000000000000000000000e-02
2	-6.4881662310833018714184561304136877879500389099121093750000000000000000000000000000000000000000000000e-03	1.3358063872406253022595556956275686388835310935974121093750000000000000000000000000000000000000000000e-02
3	-2.2939131697322840720831838012827574857510626316070556640625000000000000000000000000000000000000000000e-03	4.7227887738507477038973902949692273978143930435180664062500000000000000000000000000000000000000000000e-03
4	2.4587748515304937158010289977028151042759418487548828125000000000000000000000000000000000000000000000e-02	1.1593222498924431532185685966851451667025685310363769531250000000000000000000000000000000000000000000e-02
5	-4.4020035120745822088128562654674169607460498809814453125000000000000000000000000000000000000000000000e-02	-1.9975059364480979989808773211734660435467958450317382812500000000000000000000000000000000000000000000e-02
6	-2.5823220132130304121931274607959494460374116897583007812500000000000000000000000000000000000000000000e-02	-1.4565733477472930096352499163003813009709119796752929687500000000000000000000000000000000000000000000e-02
7	-1.0310923819728083639102322877079132013022899627685546875000000000000000000000000000000000000000000000e-02	-6.4227712667357522713373896294797305017709732055664062500000000000000000000000000000000000000000000000e-03
8	-2.5777309549320200424138427308662357972934842109680175781250000000000000000000000000000000000000000000e-03	-1.6056928166839378509939129102690458239521831274032592773437500000000000000000000000000000000000000000e-03
9	7.1682305200950428153428006794456450734287500381469726562500000000000000000000000000000000000000000000e-03	-1.1912088755287784935799066943218349479138851165771484375000000000000000000000000000000000000000000000e-02
10	-2.1775817336623752573654400066516245715320110321044921875000000000000000000000000000000000000000000000e-02	3.6951955143649288515472761673663626424968242645263671875000000000000000000000000000000000000000000000e-02
11	1.7895030314512248847957920361295691691339015960693359375000000000000000000000000000000000000000000000e-02	-3.3488102111097088620095263422626885585486888885498046875000000000000000000000000000000000000000000000e-02
12	2.3572691141169596629190152725641382858157157897949218750000000000000000000000000000000000000000000000e-02	-3.4143865679527929390957297073327936232089996337890625000000000000000000000000000000000000000000000000e-02
13	1.3746396442164795365092899714909435715526342391967773437500000000000000000000000000000000000000000000e-02	-1.7278605304495923966623394107955391518771648406982421875000000000000000000000000000000000000000000000e-02
14	4.9065765216412772151133303566439280984923243522644042968750000000000000000000000000000000000000000000e-03	-5.8582914538531614956351489809094346128404140472412109375000000000000000000000000000000000000000000000e-03
15	1.0015507384950896561937039308531893766485154628753662109375000000000000000000000000000000000000000000e-03	-1.1958187355373063771868391569341838476248085498809814453125000000000000000000000000000000000000000000e-03
16	-5.2916189542293280353990603259717317996546626091003417968750000000000000000000000000000000000000000000e-03	-4.2617401528650140224430131752342276740819215774536132812500000000000000000000000000000000000000000000e-03
17	2.1753627306215765624397562305603059940040111541748046875000000000000000000000000000000000000000000000e-02	1.7250552296943815616669937185179151128977537155151367187500000000000000000000000000000000000000000000e-02
18	-4.0624573542797977332430292563003604300320148468017578125000000000000000000000000000000000000000000000e-02	-3.1026748911041446971070811855497595388442277908325195312500000000000000000000000000000000000000000000e-02
19	1.7223368198145200952398070626259141135960817337036132812500000000000000000000000000000000000000000000e-02	9.5965000340065796657906815880778594873845577239990234375000000000000000000000000000000000000000000000e-03
20	3.5233617441143498527633681760562467388808727264404296875000000000000000000000000000000000000000000000e-02	3.0993553286825677867133421727885433938354253768920898437500000000000000000000000000000000000000000000e-02
21	2.2970798108230168488308464702640776522457599639892578125000000000000000000000000000000000000000000000e-02	2.4098041621697017383718630867406318429857492446899414062500000000000000000000000000000000000000000000e-02
22	9.6597382930243870513553616774515830911695957183837890625000000000000000000000000000000000000000000000e-03	1.1126304516310405942625116892941150581464171409606933593750000000000000000000000000000000000000000000e-02
23	2.7872422789167287937583949997133458964526653289794921875000000000000000000000000000000000000000000000e-03	3.3219194941250100062968275693719988339580595493316650390625000000000000000000000000000000000000000000e-03
24	4.9271947905796655096249958560861159639898687601089477539062500000000000000000000000000000000000000000e-04	5.8723795021289524036917084615083695098292082548141479492187500000000000000000000000000000000000000000e-04
25	-2.4353596369926563264263208452575781848281621932983398437500000000000000000000000000000000000000000000e-03	2.1409456360492050593091750698704345268197357654571533203125000000000000000000000000000000000000000000e-03
26	1.1910279833204310412364534954576811287552118301391601562500000000000000000000000000000000000000000000e-02	-1.0614348054137795820950351810552092501893639564514160156250000000000000000000000000000000000000000000e-02
27	-3.0342599398427781698384109176913625560700893402099609375000000000000000000000000000000000000000000000e-02	2.7742980510761062334923465755309734959155321121215820312500000000000000000000000000000000000000000000e-02
28	3.5781462020574167359754369499569293111562728881835937500000000000000000000000000000000000000000000000e-02	-3.5111811227189752837585245970331015996634960174560546875000000000000000000000000000000000000000000000e-02
29	4.8595217146321671372599659832758334232494235038757324218750000000000000000000000000000000000000000000e-03	1.5379851097456573999489037873900088015943765640258789062500000000000000000000000000000000000000000000e-03
30	-3.3386443928660629321125696833405527286231517791748046875000000000000000000000000000000000000000000000e-02	2.8834264105299673569549057106087275315076112747192382812500000000000000000000000000000000000000000000e-02
31	-3.5723740771277323613475118690985254943370819091796875000000000000000000000000000000000000000000000000e-02	2.4323089703584897802723929771673283539712429046630859375000000000000000000000000000000000000000000000e-02
32	-2.0674176126460483415847591004421701654791831970214843750000000000000000000000000000000000000000000000e-02	1.2192268590129911112751592838776559801772236824035644531250000000000000000000000000000000000000000000e-02
