kd 	 theta 	 phi
3.14159	0.463648	(28.6217,0)	
----------------------------

1	-1.7245353253238643320699452488042879849672317504882812500000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
2	6.4881662310833018714184561304136877879500389099121093750000000000000000000000000000000000000000000000e-03	-7.9457120072321101272029313240696459928702126050163918359603432151061497279442846775054931640625000000e-19
3	-2.2939131697322840720831838012827574857510626316070556640625000000000000000000000000000000000000000000e-03	5.6184668416691996278562612120635449958076554124986566607358184910481213591992855072021484375000000000e-19
4	-2.4587748515304937158010289977028151042759418487548828125000000000000000000000000000000000000000000000e-02	-3.0111307517508275873786441013615394571993034347875874828792674975375120993703603744506835937500000000e-18
5	-4.4020035120745822088128562654674169607460498809814453125000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
6	2.5823220132130304121931274607959494460374116897583007812500000000000000000000000000000000000000000000e-02	-3.1624323878490854548938116263284650157703733976046617248911729802784975618124008178710937500000000000e-18
7	-1.0310923819728083639102322877079132013022899627685546875000000000000000000000000000000000000000000000e-02	2.5254479704164396701766970737889254791093153496852555944807150467568135354667901992797851562500000000e-18
8	2.5777309549320200424138427308662357972934842109680175781250000000000000000000000000000000000000000000e-03	-9.4704298890616478001976418330905440186709612688560492102518573176439531380310654640197753906250000000e-19
9	7.1682305200950428153428006794456450734287500381469726562500000000000000000000000000000000000000000000e-03	1.7557101123969521937144463041032699119590575723051217166270632219493563752621412277221679687500000000e-18
10	2.1775817336623752573654400066516245715320110321044921875000000000000000000000000000000000000000000000e-02	2.6667685000113713697259274417946920026680469462940009303664190554172819247469305992126464843750000000e-18
11	1.7895030314512248847957920361295691691339015960693359375000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
12	-2.3572691141169596629190152725641382858157157897949218750000000000000000000000000000000000000000000000e-02	2.8868220753322516975897771364681451356043378695255237700867390060466277645900845527648925781250000000e-18
13	1.3746396442164795365092899714909435715526342391967773437500000000000000000000000000000000000000000000e-02	-3.3668960805415357385437355272810968298882067386125840902089123574114637449383735656738281250000000000e-18
14	-4.9065765216412772151133303566439280984923243522644042968750000000000000000000000000000000000000000000e-03	1.8026469695998626964812919262912393261082083666021471865525960254217352485284209251403808593750000000e-18
15	1.0015507384950896561937039308531893766485154628753662109375000000000000000000000000000000000000000000e-03	-4.9061836243267174627067877479992266165749634364328301758262362852747173747047781944274902343750000000e-19
16	5.2916189542293280353990603259717317996546626091003417968750000000000000000000000000000000000000000000e-03	1.9441092643813229856987443670732798565366736551961136456045942111359181581065058708190917968750000000e-18
17	2.1753627306215765624397562305603059940040111541748046875000000000000000000000000000000000000000000000e-02	5.3281020100803188393856221283852200463529757378498569880820312505420588422566652297973632812500000000e-18
18	4.0624573542797977332430292563003604300320148468017578125000000000000000000000000000000000000000000000e-02	4.9750753955913797686055648604356151264829833398941390937286755047352926339954137802124023437500000000e-18
19	1.7223368198145200952398070626259141135960817337036132812500000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
20	-3.5233617441143498527633681760562467388808727264404296875000000000000000000000000000000000000000000000e-02	4.3148736821678731415008602076518119361209431594577582563809770022089651320129632949829101562500000000e-18
21	2.2970798108230168488308464702640776522457599639892578125000000000000000000000000000000000000000000000e-02	-5.6262228754208299085573291494247502060650114515138499327040477737682522274553775787353515625000000000e-18
22	-9.6597382930243870513553616774515830911695957183837890625000000000000000000000000000000000000000000000e-03	3.5489302743460293189483561313222893637362801837762185663827096959721529856324195861816406250000000000e-18
23	2.7872422789167287937583949997133458964526653289794921875000000000000000000000000000000000000000000000e-03	-1.3653549341294182718851687042716450496505506733696121320076333205406626802869141101837158203125000000e-18
24	-4.9271947905796655096249958560861159639898687601089477539062500000000000000000000000000000000000000000e-04	3.0170366645294504144701495846233831343605496856142850897741780613614537287503480911254882812500000000e-19
25	-2.4353596369926563264263208452575781848281621932983398437500000000000000000000000000000000000000000000e-03	-1.1929821536862866294661997564236374413064094267492433291966147379525864380411803722381591796875000000e-18
26	-1.1910279833204310412364534954576811287552118301391601562500000000000000000000000000000000000000000000e-02	-4.3757658224048782886824692377638153319349242709797743328126173878445115406066179275512695312500000000e-18
27	-3.0342599398427781698384109176913625560700893402099609375000000000000000000000000000000000000000000000e-02	-7.4317934462189995869897559966545624111387942912457411914761706839271937496960163116455078125000000000e-18
28	-3.5781462020574167359754369499569293111562728881835937500000000000000000000000000000000000000000000000e-02	-4.3819652932308740298758917153203021744526095038489363342470994666655315086245536804199218750000000000e-18
29	4.8595217146321671372599659832758334232494235038757324218750000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
30	3.3386443928660629321125696833405527286231517791748046875000000000000000000000000000000000000000000000e-02	-4.0886601692146815958941872210065097478815943048819064181698124116337567102164030075073242187500000000e-18
31	-3.5723740771277323613475118690985254943370819091796875000000000000000000000000000000000000000000000000e-02	8.7497929578229151747461071663334452667517120443181621869399577917647548019886016845703125000000000000e-18
32	2.0674176126460483415847591004421701654791831970214843750000000000000000000000000000000000000000000000e-02	-7.5955690854835341540233812797072612795399712936196372214947558632047730498015880584716796875000000000e-18
