kd 	 theta 	 phi
3.14159	1.5708	(25.6,0)	
----------------------------

1	1.2194902975829778613015008659203886054456233978271484375000000000000000000000000000000000000000000000e-02	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
2	-1.4029614905489023626796109142246429046868474268923367327677187432755090412683784961700439453125000000e-18	1.7181322987277130456549701256853988235788468104792460808456473774416111273164399487244969645660663815e-34
3	1.6201301214381395865427037961126188747584819793701171875000000000000000000000000000000000000000000000e-02	-3.9681743348428609300636433329484055346250249349238353041569027368495881091803312301635742187500000000e-18
4	3.3919345547562769482841105173065443523228168487548828125000000000000000000000000000000000000000000000e-02	4.1539217953995772591215936440540145850371489923743423267055163705663289874792098999023437500000000000e-18
5	3.0016939640884475668806744439440903453532803510481370701246106591497664339840412139892578125000000000e-19	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
6	-2.0012895639591713088656366181794510339386761188507080078125000000000000000000000000000000000000000000e-03	2.4508728586696006434630512409042226455130403242545396313989414238676545210182666778564453125000000000e-19
7	3.5535830025818900568613920199482201831400240240774971584025720972022099886089563369750976562500000000e-18	-8.7037680992327022187220168850938322999958313783468794129566581393159716640213194031763625779785087389e-34
8	-2.9017207288305743584366780396521789953112602233886718750000000000000000000000000000000000000000000000e-02	1.0660749007745663237236376265795589547899478766494144738041782716209127102047204971313476562500000000e-17
9	-2.2663477832025102909341285339905880391597747802734375000000000000000000000000000000000000000000000000e-02	-5.5509511169073064539438464059730776158513403039057414189993977515769074670970439910888671875000000000e-18
10	-6.1369682087185980471850718246573974577022295250801624429126679416413026046939194202423095703125000000e-19	-7.5156184732762949704361853428189174255549577466794268582782769957967309044904543282725661781235038106e-35
11	3.1693705452227037035195511549545699381269514560699462890625000000000000000000000000000000000000000000e-03	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
12	-2.3791488421120346248993578409731461830077126367086583560994661468157573835924267768859863281250000000e-18	2.9136170141876348972419280422946877857608447174811181112805868135319873015400152924049732849898219911e-34
13	1.1216313351669447359593156932078272802755236625671386718750000000000000000000000000000000000000000000e-02	-2.7472044488711425596848680163445761865948644138792945901261788321789936162531375885009765625000000000e-18
14	4.9574084491620554017787271008796656743488923897223742687234704362708725966513156890869140625000000000e-18	-1.8213223167997064859815007999374646264531509608645497064742562455301314919028209708348493151008895552e-33
15	-3.3052036324442368719900287032942287623882293701171875000000000000000000000000000000000000000000000000e-02	1.6190828196012158315618040378206713303849352992170446130515415461559314280748367309570312500000000000e-17
16	-3.7830630023862610311624621317605488002300262451171875000000000000000000000000000000000000000000000000e-02	-1.3898747990535326509384065359817380512114473158969719934763276114608743228018283843994140625000000000e-17
17	-3.8883374888650115932766840799077354585092229733518827405891471471477416343986988067626953125000000000e-18	-9.5236801194863861493051047262967809665488493404644976028833510988239010069187049160844508316481338284e-34
18	1.6971455067244418241090286869621195364743471145629882812500000000000000000000000000000000000000000000e-02	2.0784038124974005902328308080325578777873192712208815988161880738971376558765769004821777343750000000e-18
19	1.3887272812087421449807107197504716841628838844594721196878950308928324375301599502563476562500000000e-18	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
20	-5.0713211436199234077859543390331964474171400070190429687500000000000000000000000000000000000000000000e-03	6.2105772059824360915072429176209300511837930586336907826106035201974009396508336067199707031250000000e-19
21	1.6315057271651694651635670117854141691313613394374187372248830030230237753130495548248291015625000000e-18	-3.9960365331267996040840605053863870114981427881084936128403581310218232071067383520820374270821062623e-34
22	-6.2801713605718520808118832121635932708159089088439941406250000000000000000000000000000000000000000000e-03	2.3072975264463585752123446686382278315808139873397840033386607672127865953370928764343261718750000000e-18
