kd 	 theta 	 phi
0	1.10715	(28.6217,0)	
----------------------------

1	-1.0363613744041792405492508066799928201362490653991699218750000000000000000000000000000000000000000000e-02	2.9703602071375213855564112463980563916265964508056640625000000000000000000000000000000000000000000000e-02
2	-6.4881662310833018714184561304136877879500389099121093750000000000000000000000000000000000000000000000e-03	1.3358063872406253022595556956275686388835310935974121093750000000000000000000000000000000000000000000e-02
3	-9.1756526789291328188857832515168411191552877426147460937500000000000000000000000000000000000000000000e-03	1.8891155095402983876695657272648531943559646606445312500000000000000000000000000000000000000000000000e-02
4	3.3709111301017745387920143684823415242135524749755859375000000000000000000000000000000000000000000000e-02	1.3552288097745231187918335535869118757545948028564453125000000000000000000000000000000000000000000000e-02
5	-6.5436318307807985958368668377715948736295104026794433593750000000000000000000000000000000000000000000e-03	-3.5337278213686906889329231162832911650184541940689086914062500000000000000000000000000000000000000000e-04
6	-1.3761687061696578279756941753930732375010848045349121093750000000000000000000000000000000000000000000e-02	-5.5326984477782510662979831295160693116486072540283203125000000000000000000000000000000000000000000000e-03
7	-2.0621847639456156869863789893315697554498910903930664062500000000000000000000000000000000000000000000e-02	-1.2845542533471501073227827305345272179692983627319335937500000000000000000000000000000000000000000000e-02
8	-2.0621847639456146461522934032473131082952022552490234375000000000000000000000000000000000000000000000e-02	-1.2845542533471494134333923398116894531995058059692382812500000000000000000000000000000000000000000000e-02
9	1.6654313218439093652323279570737213362008333206176757812500000000000000000000000000000000000000000000e-02	-3.3298530194703461482230721912856097333133220672607421875000000000000000000000000000000000000000000000e-02
10	-7.0560877716999217956761469849880086258053779602050781250000000000000000000000000000000000000000000000e-03	1.9377080782089814436908170591777889057993888854980468750000000000000000000000000000000000000000000000e-02
11	-8.4377138017805459330178408094980113673955202102661132812500000000000000000000000000000000000000000000e-03	1.3537788644158136805439873739942413521930575370788574218750000000000000000000000000000000000000000000e-02
12	-3.3017352691120148769354791795649362029507756233215332031250000000000000000000000000000000000000000000e-03	-2.0566819023768189746148582486284794867970049381256103515625000000000000000000000000000000000000000000e-03
13	8.4377138017805476677413167863051057793200016021728515625000000000000000000000000000000000000000000000e-03	-1.3537788644158133335992921786328224698081612586975097656250000000000000000000000000000000000000000000e-02
