kd 	 theta 	 phi
3.14159	2.67795	(28.6217,0)	
----------------------------

1	-1.7245353253238643320699452488042879849672317504882812500000000000000000000000000000000000000000000000e-02	4.3871968392927458701979759325695340521633625030517578125000000000000000000000000000000000000000000000e-02
2	-6.4881662310833018714184561304136877879500389099121093750000000000000000000000000000000000000000000000e-03	1.3358063872406256492042508909889875212684273719787597656250000000000000000000000000000000000000000000e-02
3	-2.2939131697322827710405768186774366768077015876770019531250000000000000000000000000000000000000000000e-03	4.7227887738507485712591282833727746037766337394714355468750000000000000000000000000000000000000000000e-03
4	-2.4587748515304937158010289977028151042759418487548828125000000000000000000000000000000000000000000000e-02	-1.1593222498924436736356113897272734902799129486083984375000000000000000000000000000000000000000000000e-02
5	4.4020035120745822088128562654674169607460498809814453125000000000000000000000000000000000000000000000e-02	1.9975059364480979989808773211734660435467958450317382812500000000000000000000000000000000000000000000e-02
6	2.5823220132130304121931274607959494460374116897583007812500000000000000000000000000000000000000000000e-02	1.4565733477472931831075975139810907421633601188659667968750000000000000000000000000000000000000000000e-02
7	1.0310923819728083639102322877079132013022899627685546875000000000000000000000000000000000000000000000e-02	6.4227712667357505366139136526726360898464918136596679687500000000000000000000000000000000000000000000e-03
8	2.5777309549320209097755807192697830032557249069213867187500000000000000000000000000000000000000000000e-03	1.6056928166839367667917404247646118164993822574615478515625000000000000000000000000000000000000000000e-03
9	7.1682305200950454174280146446562866913154721260070800781250000000000000000000000000000000000000000000e-03	-1.1912088755287783201075590966411255067214369773864746093750000000000000000000000000000000000000000000e-02
10	-2.1775817336623756043101352020130434539169073104858398437500000000000000000000000000000000000000000000e-02	3.6951955143649295454366665580892004072666168212890625000000000000000000000000000000000000000000000000e-02
11	1.7895030314512248847957920361295691691339015960693359375000000000000000000000000000000000000000000000e-02	-3.3488102111097088620095263422626885585486888885498046875000000000000000000000000000000000000000000000e-02
12	2.3572691141169596629190152725641382858157157897949218750000000000000000000000000000000000000000000000e-02	-3.4143865679527943268745104887784691527485847473144531250000000000000000000000000000000000000000000000e-02
13	1.3746396442164790160922471784488152479752898216247558593750000000000000000000000000000000000000000000e-02	-1.7278605304495923966623394107955391518771648406982421875000000000000000000000000000000000000000000000e-02
14	4.9065765216412754803898543798368336865678429603576660156250000000000000000000000000000000000000000000e-03	-5.8582914538531640977203629461200762307271361351013183593750000000000000000000000000000000000000000000e-03
15	1.0015507384950890056724004395505289721768349409103393554687500000000000000000000000000000000000000000e-03	-1.1958187355373065940272736540350706491153687238693237304687500000000000000000000000000000000000000000e-03
16	5.2916189542293254333138463607610901817679405212402343750000000000000000000000000000000000000000000000e-03	4.2617401528650157571664891520413220860064029693603515625000000000000000000000000000000000000000000000e-03
17	-2.1753627306215762154950610351988871116191148757934570312500000000000000000000000000000000000000000000e-02	-1.7250552296943822555563841092407528776675462722778320312500000000000000000000000000000000000000000000e-02
18	4.0624573542797977332430292563003604300320148468017578125000000000000000000000000000000000000000000000e-02	3.1026748911041464318305571623568539507687091827392578125000000000000000000000000000000000000000000000e-02
