kd 	 theta 	 phi
0	2.35619	(18.1019,0)	
----------------------------

1	-4.1372096492350379781655078659241553395986557006835937500000000000000000000000000000000000000000000000e-02	-4.6305358646987662685212683300051139667630195617675781250000000000000000000000000000000000000000000000e-02
2	1.6176057247786434362124552421846601646393537521362304687500000000000000000000000000000000000000000000e-02	2.4588046513689256616919109887930972035974264144897460937500000000000000000000000000000000000000000000e-02
3	-1.1438199772771592832576459386473288759589195251464843750000000000000000000000000000000000000000000000e-02	-1.7386374425959926631746199632289062719792127609252929687500000000000000000000000000000000000000000000e-02
4	-4.5464177560826907198432422774203587323427200317382812500000000000000000000000000000000000000000000000e-02	3.3644095752689513745270488698224653489887714385986328125000000000000000000000000000000000000000000000e-02
5	-2.8002162270763884116542286051299015525728464126586914062500000000000000000000000000000000000000000000e-02	2.5936539800007867018205587328338879160583019256591796875000000000000000000000000000000000000000000000e-02
6	3.9947186437219291132993959081431967206299304962158203125000000000000000000000000000000000000000000000e-02	-2.3174934199248556354611139340704539790749549865722656250000000000000000000000000000000000000000000000e-02
7	-3.4924030580126046163780273445809143595397472381591796875000000000000000000000000000000000000000000000e-02	1.5415111905363279576341994925314793363213539123535156250000000000000000000000000000000000000000000000e-02
8	1.7462015290063019612443184769290382973849773406982421875000000000000000000000000000000000000000000000e-02	-7.7075559526816397881709974626573966816067695617675781250000000000000000000000000000000000000000000000e-03
9	2.1468712690742033921686982012033695355057716369628906250000000000000000000000000000000000000000000000e-02	4.0296823605506945642495963966212002560496330261230468750000000000000000000000000000000000000000000000e-02
10	3.2618179932734518711168192339755478315055370330810546875000000000000000000000000000000000000000000000e-02	5.3334998158606233831235954312433023005723953247070312500000000000000000000000000000000000000000000000e-02
11	5.6850458290426970214825885818754613865166902542114257812500000000000000000000000000000000000000000000e-03	-6.7930901558915296120644278232703072717413306236267089843750000000000000000000000000000000000000000000e-03
12	-1.9202200386364637330061100328748580068349838256835937500000000000000000000000000000000000000000000000e-02	-3.6042574743692670780070841374254086986184120178222656250000000000000000000000000000000000000000000000e-02
13	1.3259411685419025817012084189627785235643386840820312500000000000000000000000000000000000000000000000e-02	4.9836424238778646855774212554024416022002696990966796875000000000000000000000000000000000000000000000e-02
14	-7.3202432552596854997695174915861571207642555236816406250000000000000000000000000000000000000000000000e-03	-3.7408317701045870617981847772171022370457649230957031250000000000000000000000000000000000000000000000e-02
15	2.9884767947393918105514210026285581989213824272155761718750000000000000000000000000000000000000000000e-03	1.5271881750581048006742967970694735413417220115661621093750000000000000000000000000000000000000000000e-02
16	3.3767138603507322602848006454223650507628917694091796875000000000000000000000000000000000000000000000e-02	-9.9348840179326897842360111212656192947179079055786132812500000000000000000000000000000000000000000000e-03
17	6.3069097956892875012080423857696587219834327697753906250000000000000000000000000000000000000000000000e-02	-2.1814008605105451171768393692218523938208818435668945312500000000000000000000000000000000000000000000e-02
18	3.2261834941160798251313934770223568193614482879638671875000000000000000000000000000000000000000000000e-02	-1.9070030912828050961849157829419709742069244384765625000000000000000000000000000000000000000000000000e-02
19	-3.7465677745380586427526026227496913634240627288818359375000000000000000000000000000000000000000000000e-02	3.6346672178871803661481809655242614098824560642242431640625000000000000000000000000000000000000000000e-03
20	-1.1720905552594437434854590662780537968501448631286621093750000000000000000000000000000000000000000000e-02	1.2810365473644603345748649303459387738257646560668945312500000000000000000000000000000000000000000000e-02
21	4.9726388968945559043710602509236196056008338928222656250000000000000000000000000000000000000000000000e-02	-6.0105847147941104252621968839775945525616407394409179687500000000000000000000000000000000000000000000e-03
22	-5.4434485542367287702614220279428991489112377166748046875000000000000000000000000000000000000000000000e-02	-2.2697571768015385382244453182920551626011729240417480468750000000000000000000000000000000000000000000e-03
23	3.4247280426101298078656043344381032511591911315917968750000000000000000000000000000000000000000000000e-02	2.9557481078370897477347600812436212436296045780181884765625000000000000000000000000000000000000000000e-03
24	-1.2108242113246773033474745773219183320179581642150878906250000000000000000000000000000000000000000000e-02	-1.0450147652654570486902008141782971506472676992416381835937500000000000000000000000000000000000000000e-03
25	-6.9981319072138906990654394491002676659263670444488525390625000000000000000000000000000000000000000000e-04	-2.6468537704818013295282597141522273886948823928833007812500000000000000000000000000000000000000000000e-02
26	-4.1845313996874654305369034545947215519845485687255859375000000000000000000000000000000000000000000000e-03	-6.1601721667429727713471976358050596900284290313720703125000000000000000000000000000000000000000000000e-02
27	-1.0621673001357714166692502999467251356691122055053710937500000000000000000000000000000000000000000000e-02	-5.9967110091057651555246366115170530974864959716796875000000000000000000000000000000000000000000000000e-02
28	-1.1661453228380561433774609270130895311012864112854003906250000000000000000000000000000000000000000000e-02	5.4221386042171051261595593473430199082940816879272460937500000000000000000000000000000000000000000000e-03
29	2.3091962082224409304187506819516784162260591983795166015625000000000000000000000000000000000000000000e-03	4.5150221750592071934260474108668859116733074188232421875000000000000000000000000000000000000000000000e-02
30	1.4779849972833974253161315459692559670656919479370117187500000000000000000000000000000000000000000000e-02	-1.8687086384655278437083580911348690278828144073486328125000000000000000000000000000000000000000000000e-02
31	-3.5998641065496813327972969176471451646648347377777099609375000000000000000000000000000000000000000000e-03	-3.0682936133357756325334975144869531504809856414794921875000000000000000000000000000000000000000000000e-02
32	-1.6214501607244916764338782400045602116733789443969726562500000000000000000000000000000000000000000000e-02	5.6457925123341710926805347980916849337518215179443359375000000000000000000000000000000000000000000000e-02
33	2.0380237640978595553553631702925486024469137191772460937500000000000000000000000000000000000000000000e-02	-4.9418071053226701738747550507468986324965953826904296875000000000000000000000000000000000000000000000e-02
34	-1.2070642521199674915277633147070446284487843513488769531250000000000000000000000000000000000000000000e-02	2.6794853587932945804261919420241611078381538391113281250000000000000000000000000000000000000000000000e-02
35	3.8170723188668256517508403646843362366780638694763183593750000000000000000000000000000000000000000000e-03	-8.4732766908602909217140819464475498534739017486572265625000000000000000000000000000000000000000000000e-03
36	-1.8791215793315531323859346457538777031004428863525390625000000000000000000000000000000000000000000000e-02	-5.6145039708301340206086926798434433294460177421569824218750000000000000000000000000000000000000000000e-03
37	-5.1477331058876529823464807122945785522460937500000000000000000000000000000000000000000000000000000000e-02	-1.3244444594426160385913782135958172148093581199645996093750000000000000000000000000000000000000000000e-02
38	-6.9742747139904831543688601414032746106386184692382812500000000000000000000000000000000000000000000000e-02	-1.2184916537281237358669727655069436877965927124023437500000000000000000000000000000000000000000000000e-02
39	-3.1280518210665811396076207984151551499962806701660156250000000000000000000000000000000000000000000000e-02	5.6206677333590212772285177322828531032428145408630371093750000000000000000000000000000000000000000000e-03
40	3.5035881308148809909486232072595157660543918609619140625000000000000000000000000000000000000000000000e-02	1.7951525086411502379890592351330269593745470046997070312500000000000000000000000000000000000000000000e-02
41	2.8367423464094702889592980454835924319922924041748046875000000000000000000000000000000000000000000000e-02	-4.6712497204390397362305797912540583638474345207214355468750000000000000000000000000000000000000000000e-03
42	-3.5265468813989099550187944487333879806101322174072265625000000000000000000000000000000000000000000000e-02	-2.3438766645016373413312749107717536389827728271484375000000000000000000000000000000000000000000000000e-02
43	-4.9009047943518024154085921395562763791531324386596679687500000000000000000000000000000000000000000000e-03	1.5363807187691209954483184674245421774685382843017578125000000000000000000000000000000000000000000000e-02
44	4.0336427576095339186945665232997271232306957244873046875000000000000000000000000000000000000000000000e-02	2.0366727629894193496440379931300412863492965698242187500000000000000000000000000000000000000000000000e-02
45	-4.8227675808532828594099584051946294493973255157470703125000000000000000000000000000000000000000000000e-02	-4.1848705885599843390387775343697285279631614685058593750000000000000000000000000000000000000000000000e-02
46	3.4773488150045023248324582709756214171648025512695312500000000000000000000000000000000000000000000000e-02	3.5438076367054954785018594520806800574064254760742187500000000000000000000000000000000000000000000000e-02
47	-1.6609418546872745797715609228362154681235551834106445312500000000000000000000000000000000000000000000e-02	-1.7779393801192998336713202434111735783517360687255859375000000000000000000000000000000000000000000000e-02
48	4.7947261345600731760607793319195479853078722953796386718750000000000000000000000000000000000000000000e-03	5.1324688985735717264291544381649146089330315589904785156250000000000000000000000000000000000000000000e-03
49	-8.8672982668477409728957638890278758481144905090332031250000000000000000000000000000000000000000000000e-03	1.1305599175493044952767185407083161408081650733947753906250000000000000000000000000000000000000000000e-02
50	-2.5741892756026112099032587821056949906051158905029296875000000000000000000000000000000000000000000000e-02	3.5439689952890748858571612345258472487330436706542968750000000000000000000000000000000000000000000000e-02
51	-3.8031395671482455533851663176392321474850177764892578125000000000000000000000000000000000000000000000e-02	6.0304284793207166281980846633814508095383644104003906250000000000000000000000000000000000000000000000e-02
52	-2.1091412169082602440228768614360888022929430007934570312500000000000000000000000000000000000000000000e-02	5.1548742334451010116413982586891506798565387725830078125000000000000000000000000000000000000000000000e-02
53	1.9077268276621199560860731025968561880290508270263671875000000000000000000000000000000000000000000000e-02	-1.7095871969546806885820178223411858198232948780059814453125000000000000000000000000000000000000000000e-03
54	2.5401285010475466857871040815552987623959779739379882812500000000000000000000000000000000000000000000e-02	-4.0052558029685221552274043688157689757645130157470703125000000000000000000000000000000000000000000000e-02
55	-2.0016953632670659440906391068892844486981630325317382812500000000000000000000000000000000000000000000e-02	-5.8666697214831498366494066942777863005176186561584472656250000000000000000000000000000000000000000000e-03
56	-2.4050964087917771350166873389753163792192935943603515625000000000000000000000000000000000000000000000e-02	3.2002795886429714899978904441013582982122898101806640625000000000000000000000000000000000000000000000e-02
57	3.5503505548640644506885877262902795337140560150146484375000000000000000000000000000000000000000000000e-02	-8.4234606355237003072478074727769126184284687042236328125000000000000000000000000000000000000000000000e-03
58	4.2576603817143943847556286641520273406058549880981445312500000000000000000000000000000000000000000000e-03	-2.0542395031229815360873658391938079148530960083007812500000000000000000000000000000000000000000000000e-02
59	-4.9418598406513178367127636647637700662016868591308593750000000000000000000000000000000000000000000000e-02	2.9706882212252420927267593242504517547786235809326171875000000000000000000000000000000000000000000000e-02
60	6.0579967977943301182808255589407053776085376739501953125000000000000000000000000000000000000000000000e-02	-2.3813073198813945047236373397936404217034578323364257812500000000000000000000000000000000000000000000e-02
61	-4.2181566972918020652638659839794854633510112762451171875000000000000000000000000000000000000000000000e-02	1.3711784034106614532655399329996726009994745254516601562500000000000000000000000000000000000000000000e-02
62	1.8877103073088860596406846070749452337622642517089843750000000000000000000000000000000000000000000000e-02	-5.7322423310983165387066939899796125246211886405944824218750000000000000000000000000000000000000000000e-03
63	-5.0451180110225712222016269947744149249047040939331054687500000000000000000000000000000000000000000000e-03	1.5320062043523068138345388788934542390052229166030883789062500000000000000000000000000000000000000000e-03
64	-3.7464093680518485707242604121347540058195590972900390625000000000000000000000000000000000000000000000e-02	-4.5167981965439842062526309973691240884363651275634765625000000000000000000000000000000000000000000000e-02
65	2.6491114692502707589349952854718139860779047012329101562500000000000000000000000000000000000000000000e-02	3.1938586340274202624023303087597014382481575012207031250000000000000000000000000000000000000000000000e-02
66	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
67	-4.4891425735112872041909781728463713079690933227539062500000000000000000000000000000000000000000000000e-02	2.9533304820358544789948851416738762054592370986938476562500000000000000000000000000000000000000000000e-02
68	-2.2445712867556429082060986957003478892147541046142578125000000000000000000000000000000000000000000000e-02	1.4766652410179256782463141917105531319975852966308593750000000000000000000000000000000000000000000000e-02
